t,phase,ego_x,ego_y,gps_x,gps_y,err
4.235,on,0.2875,-0.0117,0.0000,0.0000,0.2877
4.286,on,0.2875,-0.0117,0.2743,-0.0112,0.0132
4.336,on,0.2875,-0.0117,0.2743,-0.0112,0.0132
4.386,on,0.2875,-0.0117,0.2743,-0.0112,0.0132
4.437,on,0.2996,-0.0122,0.2743,-0.0112,0.0253
4.487,on,0.2996,-0.0122,0.2743,-0.0112,0.0253
4.538,on,0.2996,-0.0122,0.2743,-0.0112,0.0253
4.588,on,0.3133,-0.0126,0.2743,-0.0112,0.0390
4.639,on,0.3133,-0.0126,0.2743,-0.0112,0.0390
4.689,on,0.3133,-0.0126,0.2743,-0.0112,0.0390
4.740,on,0.3259,-0.0131,0.2743,-0.0112,0.0517
4.790,on,0.3259,-0.0131,0.2743,-0.0112,0.0517
4.841,on,0.3259,-0.0131,0.2743,-0.0112,0.0517
4.891,on,0.3395,-0.0134,0.2743,-0.0112,0.0652
4.942,on,0.3395,-0.0134,0.2743,-0.0112,0.0652
4.992,on,0.3395,-0.0134,0.2743,-0.0112,0.0652
5.043,on,0.3530,-0.0137,0.2743,-0.0112,0.0787
5.093,on,0.3530,-0.0137,0.2743,-0.0112,0.0787
5.144,on,0.3530,-0.0137,0.2743,-0.0112,0.0787
5.194,on,0.3659,-0.0141,0.2743,-0.0112,0.0917
5.244,on,0.3659,-0.0141,0.2743,-0.0112,0.0917
5.295,on,0.3659,-0.0141,0.2743,-0.0112,0.0917
5.345,on,0.3793,-0.0142,0.2743,-0.0112,0.1050
5.396,on,0.3793,-0.0142,0.2743,-0.0112,0.1050
5.446,on,0.3793,-0.0142,0.2743,-0.0112,0.1050
5.497,on,0.4068,-0.0147,0.2743,-0.0112,0.1326
5.547,on,0.4068,-0.0147,0.2743,-0.0112,0.1326
5.598,on,0.4068,-0.0147,0.2743,-0.0112,0.1326
5.648,on,0.4465,-0.0149,0.2743,-0.0112,0.1722
5.699,on,0.4465,-0.0149,0.2743,-0.0112,0.1722
5.749,on,0.4465,-0.0149,0.2743,-0.0112,0.1722
5.800,on,0.4862,-0.0148,0.2743,-0.0112,0.2119
5.850,on,0.4862,-0.0148,0.2743,-0.0112,0.2119
5.901,on,0.4862,-0.0148,0.2743,-0.0112,0.2119
5.952,on,0.5270,-0.0142,0.2743,-0.0112,0.2527
6.002,on,0.5270,-0.0142,0.2743,-0.0112,0.2527
6.052,on,0.5270,-0.0142,0.2743,-0.0112,0.2527
6.103,on,0.5534,-0.0132,0.2743,-0.0112,0.2791
6.153,on,0.5534,-0.0132,0.2743,-0.0112,0.2791
6.204,on,0.5534,-0.0132,0.2743,-0.0112,0.2791
6.255,on,0.5929,-0.0119,0.2743,-0.0112,0.3186
6.305,on,0.5929,-0.0119,0.6555,-0.0048,0.0630
6.355,on,0.5929,-0.0119,0.6555,-0.0048,0.0630
6.406,on,0.5929,-0.0119,0.6555,-0.0048,0.0630
6.457,on,0.6324,-0.0110,0.6555,-0.0048,0.0239
6.507,on,0.6324,-0.0110,0.6555,-0.0048,0.0239
6.557,on,0.6324,-0.0110,0.6555,-0.0048,0.0239
6.608,on,0.6601,-0.0092,0.6555,-0.0048,0.0063
6.658,on,0.6601,-0.0092,0.6555,-0.0048,0.0063
6.709,on,0.6601,-0.0092,0.6555,-0.0048,0.0063
6.760,on,0.6691,-0.0046,0.6555,-0.0048,0.0135
6.810,on,0.6691,-0.0046,0.6555,-0.0048,0.0135
6.861,on,0.6691,-0.0046,0.6555,-0.0048,0.0135
6.911,on,0.6954,-0.0042,0.6555,-0.0048,0.0399
6.962,on,0.6954,-0.0042,0.6555,-0.0048,0.0399
7.012,on,0.6954,-0.0042,0.6555,-0.0048,0.0399
7.063,on,0.7349,-0.0035,0.6555,-0.0048,0.0794
7.113,on,0.7349,-0.0035,0.6555,-0.0048,0.0794
7.164,on,0.7349,-0.0035,0.6555,-0.0048,0.0794
7.214,on,0.7756,-0.0025,0.6555,-0.0048,0.1201
7.265,on,0.7756,-0.0025,0.6555,-0.0048,0.1201
7.315,on,0.7756,-0.0025,0.6555,-0.0048,0.1201
7.366,on,0.8020,-0.0016,0.6555,-0.0048,0.1464
7.416,on,0.8020,-0.0016,0.6555,-0.0048,0.1464
7.467,on,0.8020,-0.0016,0.6555,-0.0048,0.1464
7.517,on,0.8283,-0.0007,0.6555,-0.0048,0.1728
7.569,on,0.8283,-0.0007,0.6555,-0.0048,0.1728
7.620,on,0.8283,-0.0007,0.6555,-0.0048,0.1728
7.670,on,0.8546,0.0002,0.6555,-0.0048,0.1992
7.720,on,0.8546,0.0002,0.6555,-0.0048,0.1992
7.771,on,0.8546,0.0002,0.6555,-0.0048,0.1992
7.821,on,0.8954,0.0021,0.6555,-0.0048,0.2400
7.872,on,0.8954,0.0021,0.6555,-0.0048,0.2400
7.922,on,0.8954,0.0021,0.6555,-0.0048,0.2400
7.973,on,0.9218,0.0038,0.6555,-0.0048,0.2664
8.023,on,0.9218,0.0038,0.6555,-0.0048,0.2664
8.074,on,0.9218,0.0038,0.6555,-0.0048,0.2664
8.124,on,0.9481,0.0053,0.6555,-0.0048,0.2928
8.175,on,0.9481,0.0053,1.0348,0.0418,0.0940
8.225,on,0.9481,0.0053,1.0348,0.0418,0.0940
8.276,on,0.9481,0.0053,1.0348,0.0418,0.0940
8.326,on,0.9889,0.0081,1.0348,0.0418,0.0570
8.377,on,0.9889,0.0081,1.0348,0.0418,0.0570
8.427,on,0.9889,0.0081,1.0348,0.0418,0.0570
8.478,on,1.0283,0.0113,1.0348,0.0418,0.0312
8.528,on,1.0283,0.0113,1.0348,0.0418,0.0312
8.579,on,1.0283,0.0113,1.0348,0.0418,0.0312
8.629,on,1.0546,0.0134,1.0348,0.0418,0.0347
8.679,on,1.0546,0.0134,1.0348,0.0418,0.0347
8.730,on,1.0546,0.0134,1.0348,0.0418,0.0347
8.780,on,1.0834,0.0318,1.0348,0.0418,0.0497
8.831,on,1.0834,0.0318,1.0348,0.0418,0.0497
8.881,on,1.0834,0.0318,1.0348,0.0418,0.0497
8.932,on,1.1109,0.0342,1.0348,0.0418,0.0765
8.982,on,1.1109,0.0342,1.0348,0.0418,0.0765
9.033,on,1.1109,0.0342,1.0348,0.0418,0.0765
9.083,on,1.1370,0.0373,1.0348,0.0418,0.1024
9.134,on,1.1370,0.0373,1.0348,0.0418,0.1024
9.184,on,1.1370,0.0373,1.0348,0.0418,0.1024
9.235,on,1.1632,0.0401,1.0348,0.0418,0.1285
9.285,on,1.1632,0.0401,1.0348,0.0418,0.1285
9.336,on,1.1632,0.0401,1.0348,0.0418,0.1285
9.386,on,1.2025,0.0449,1.0348,0.0418,0.1677
9.436,on,1.2025,0.0449,1.0348,0.0418,0.1677
9.487,on,1.2025,0.0449,1.0348,0.0418,0.1677
9.538,on,1.2298,0.0481,1.0348,0.0418,0.1952
9.588,on,1.2298,0.0481,1.0348,0.0418,0.1952
9.639,on,1.2298,0.0481,1.0348,0.0418,0.1952
9.689,on,1.2559,0.0522,1.0348,0.0418,0.2214
9.739,on,1.2559,0.0522,1.0348,0.0418,0.2214
9.790,on,1.2559,0.0522,1.0348,0.0418,0.2214
9.840,on,1.2820,0.0558,1.0348,0.0418,0.2476
9.891,on,1.2820,0.0558,1.0348,0.0418,0.2476
9.941,on,1.2820,0.0558,1.0348,0.0418,0.2476
9.992,on,1.2951,0.0571,1.0348,0.0418,0.2608
10.042,on,1.2951,0.0571,1.0348,0.0418,0.2608
10.093,on,1.2951,0.0571,1.0348,0.0418,0.2608
10.143,on,1.3354,0.0634,1.0348,0.0418,0.3014
10.194,on,1.3354,0.0634,1.4025,0.1224,0.0894
10.244,on,1.3354,0.0634,1.4025,0.1224,0.0894
10.295,on,1.3354,0.0634,1.4025,0.1224,0.0894
10.345,on,1.3615,0.0683,1.4025,0.1224,0.0680
10.397,on,1.3615,0.0683,1.4025,0.1224,0.0680
10.447,on,1.3615,0.0683,1.4025,0.1224,0.0680
10.498,on,1.3875,0.0725,1.4025,0.1224,0.0522
10.548,on,1.3875,0.0725,1.4025,0.1224,0.0522
10.599,on,1.3875,0.0725,1.4025,0.1224,0.0522
10.649,on,1.4138,0.0768,1.4025,0.1224,0.0470
10.700,on,1.4138,0.0768,1.4025,0.1224,0.0470
10.750,on,1.4138,0.0768,1.4025,0.1224,0.0470
10.801,on,1.4397,0.0824,1.4025,0.1224,0.0547
10.851,on,1.4397,0.0824,1.4025,0.1224,0.0547
10.902,on,1.4397,0.0824,1.4025,0.1224,0.0547
10.952,on,1.4385,0.1010,1.4025,0.1224,0.0419
11.002,on,1.4385,0.1010,1.4025,0.1224,0.0419
11.053,on,1.4385,0.1010,1.4025,0.1224,0.0419
11.103,on,1.4774,0.1083,1.4025,0.1224,0.0762
11.154,on,1.4774,0.1083,1.4025,0.1224,0.0762
11.204,on,1.4774,0.1083,1.4025,0.1224,0.0762
11.255,on,1.5032,0.1140,1.4025,0.1224,0.1011
11.305,on,1.5032,0.1140,1.4025,0.1224,0.1011
11.356,on,1.5032,0.1140,1.4025,0.1224,0.1011
11.406,on,1.5162,0.1161,1.4025,0.1224,0.1138
11.456,on,1.5162,0.1161,1.4025,0.1224,0.1138
11.507,on,1.5162,0.1161,1.4025,0.1224,0.1138
11.557,on,1.5419,0.1221,1.4025,0.1224,0.1394
11.607,on,1.5419,0.1221,1.4025,0.1224,0.1394
11.658,on,1.5419,0.1221,1.4025,0.1224,0.1394
11.709,on,1.5560,0.1246,1.4025,0.1224,0.1535
11.759,on,1.5560,0.1246,1.4025,0.1224,0.1535
11.810,on,1.5560,0.1246,1.4025,0.1224,0.1535
11.860,on,1.5944,0.1332,1.4025,0.1224,0.1922
11.910,on,1.5944,0.1332,1.4025,0.1224,0.1922
11.961,on,1.5944,0.1332,1.4025,0.1224,0.1922
12.011,on,1.6201,0.1389,1.4025,0.1224,0.2183
12.062,on,1.6201,0.1389,1.4025,0.1224,0.2183
12.112,on,1.6201,0.1389,1.4025,0.1224,0.2183
12.163,on,1.6457,0.1458,1.4025,0.1224,0.2443
12.213,on,1.6457,0.1458,1.4025,0.1224,0.2443
12.264,on,1.6457,0.1458,1.4025,0.1224,0.2443
12.314,on,1.6725,0.1521,1.4025,0.1224,0.2716
12.364,on,1.6725,0.1521,1.4025,0.1224,0.2716
12.415,on,1.6725,0.1521,1.4025,0.1224,0.2716
12.466,on,1.6981,0.1583,1.4025,0.1224,0.2977
12.516,on,1.6981,0.1583,1.4025,0.1224,0.2977
12.567,on,1.6981,0.1583,1.4025,0.1224,0.2977
12.617,on,1.7108,0.1620,1.4025,0.1224,0.3108
12.668,on,1.7108,0.1620,1.7631,0.2283,0.0845
12.718,on,1.7108,0.1620,1.7631,0.2283,0.0845
12.769,on,1.7108,0.1620,1.7631,0.2283,0.0845
12.819,on,1.7491,0.1722,1.7631,0.2283,0.0578
12.869,on,1.7491,0.1722,1.7631,0.2283,0.0578
12.920,on,1.7491,0.1722,1.7631,0.2283,0.0578
12.971,on,1.7618,0.1761,1.7631,0.2283,0.0522
13.021,on,1.7618,0.1761,1.7631,0.2283,0.0522
13.072,on,1.7618,0.1761,1.7631,0.2283,0.0522
13.122,on,1.7884,0.1831,1.7631,0.2283,0.0517
13.172,on,1.7884,0.1831,1.7631,0.2283,0.0517
13.223,on,1.7884,0.1831,1.7631,0.2283,0.0517
13.274,on,1.8139,0.1901,1.7631,0.2283,0.0635
13.324,on,1.8139,0.1901,1.7631,0.2283,0.0635
13.375,on,1.8139,0.1901,1.7631,0.2283,0.0635
13.425,on,1.8074,0.2081,1.7631,0.2283,0.0487
13.475,on,1.8074,0.2081,1.7631,0.2283,0.0487
13.526,on,1.8074,0.2081,1.7631,0.2283,0.0487
13.576,on,1.8453,0.2189,1.7631,0.2283,0.0828
