t,phase,ego_x,ego_y,gps_x,gps_y,err
1.683,on,0.5154,-0.0203,0.5154,-0.0203,0.0000
1.734,on,0.5396,-0.0208,0.5154,-0.0203,0.0242
1.785,on,0.5533,-0.0210,0.5154,-0.0203,0.0379
1.836,on,0.5806,-0.0214,0.5154,-0.0203,0.0652
1.887,on,0.6069,-0.0216,0.5154,-0.0203,0.0915
1.938,on,0.6203,-0.0215,0.5154,-0.0203,0.1049
1.989,on,0.6466,-0.0214,0.5154,-0.0203,0.1312
2.040,on,0.6599,-0.0212,0.5154,-0.0203,0.1445
2.091,on,0.6875,-0.0210,0.5154,-0.0203,0.1720
2.142,on,0.7007,-0.0206,0.5154,-0.0203,0.1853
2.193,on,0.7271,-0.0201,0.5154,-0.0203,0.2117
2.244,on,0.7403,-0.0197,0.5154,-0.0203,0.2249
2.295,on,0.7667,-0.0190,0.5154,-0.0203,0.2513
2.346,on,0.7799,-0.0184,0.5154,-0.0203,0.2645
2.397,on,0.8075,-0.0176,0.5154,-0.0203,0.2921
2.448,on,0.8207,-0.0169,0.5154,-0.0203,0.3053
2.499,on,0.8470,-0.0160,0.5154,-0.0203,0.3317
2.550,on,0.8603,-0.0151,0.5154,-0.0203,0.3449
2.601,on,0.8866,-0.0140,0.5154,-0.0203,0.3712
2.652,on,0.9129,-0.0127,0.8949,0.0097,0.0287
2.703,on,0.9096,0.0096,0.8949,0.0097,0.0147
2.754,on,0.9359,0.0106,0.8949,0.0097,0.0410
2.805,on,0.9491,0.0112,0.8949,0.0097,0.0542
2.856,on,0.9754,0.0125,0.8949,0.0097,0.0805
2.907,on,0.9885,0.0134,0.8949,0.0097,0.0937
2.958,on,1.0148,0.0151,0.8949,0.0097,0.1200
3.009,on,1.0291,0.0163,0.8949,0.0097,0.1344
3.060,on,1.0554,0.0183,0.8949,0.0097,0.1607
3.111,on,1.0685,0.0196,0.8949,0.0097,0.1739
3.162,on,1.0947,0.0219,0.8949,0.0097,0.2002
3.213,on,1.1078,0.0235,0.8949,0.0097,0.2134
3.264,on,1.1340,0.0261,0.8949,0.0097,0.2397
3.315,on,1.1483,0.0279,0.8949,0.0097,0.2541
3.366,on,1.1745,0.0308,0.8949,0.0097,0.2804
3.417,on,1.1876,0.0327,0.8949,0.0097,0.2936
3.468,on,1.2137,0.0359,0.8949,0.0097,0.3199
3.519,on,1.2399,0.0392,0.8949,0.0097,0.3463
3.570,on,1.2529,0.0413,0.8949,0.0097,0.3594
3.621,on,1.2802,0.0450,0.8949,0.0097,0.3870
3.672,on,1.2933,0.0473,1.2712,0.0742,0.0347
3.723,on,1.3077,0.0649,1.2712,0.0742,0.0376
3.774,on,1.3207,0.0670,1.2712,0.0742,0.0500
3.825,on,1.3467,0.0707,1.2712,0.0742,0.0756
3.876,on,1.3597,0.0730,1.2712,0.0742,0.0885
3.927,on,1.3869,0.0772,1.2712,0.0742,0.1157
3.978,on,1.3999,0.0796,1.2712,0.0742,0.1288
4.029,on,1.4259,0.0839,1.2712,0.0742,0.1549
4.080,on,1.4388,0.0866,1.2712,0.0742,0.1680
4.131,on,1.4647,0.0912,1.2712,0.0742,0.1942
4.182,on,1.4776,0.0940,1.2712,0.0742,0.2073
4.233,on,1.5047,0.0991,1.2712,0.0742,0.2348
4.284,on,1.5175,0.1021,1.2712,0.0742,0.2479
4.335,on,1.5434,0.1073,1.2712,0.0742,0.2741
4.386,on,1.5692,0.1127,1.2712,0.0742,0.3004
4.437,on,1.5820,0.1159,1.2712,0.0742,0.3135
4.488,on,1.6089,0.1218,1.2712,0.0742,0.3410
4.539,on,1.6217,0.1252,1.2712,0.0742,0.3541
4.590,on,1.6474,0.1311,1.2712,0.0742,0.3804
4.641,on,1.6601,0.1346,1.2712,0.0742,0.3935
4.692,on,1.6709,0.1529,1.6370,0.1676,0.0369
4.743,on,1.6836,0.1562,1.6370,0.1676,0.0480
4.794,on,1.7103,0.1625,1.6370,0.1676,0.0735
4.845,on,1.7231,0.1659,1.6370,0.1676,0.0862
4.896,on,1.7487,0.1722,1.6370,0.1676,0.1118
4.947,on,1.7614,0.1758,1.6370,0.1676,0.1247
4.998,on,1.7869,0.1824,1.6370,0.1676,0.1506
5.049,on,1.7995,0.1861,1.6370,0.1676,0.1636
5.100,on,1.8261,0.1933,1.6370,0.1676,0.1909
5.151,on,1.8387,0.1972,1.6370,0.1676,0.2039
5.202,on,1.8641,0.2043,1.6370,0.1676,0.2301
5.253,on,1.8894,0.2115,1.6370,0.1676,0.2563
5.304,on,1.9020,0.2157,1.6370,0.1676,0.2694
5.355,on,1.9271,0.2232,1.6370,0.1676,0.2955
5.406,on,1.9408,0.2278,1.6370,0.1676,0.3097
5.457,on,1.9660,0.2356,1.6370,0.1676,0.3360
5.508,on,1.9784,0.2400,1.6370,0.1676,0.3491
5.559,on,2.0035,0.2480,1.6370,0.1676,0.3753
5.610,on,2.0160,0.2525,1.6370,0.1676,0.3884
5.661,on,2.0410,0.2608,1.9891,0.2963,0.0629
5.712,on,2.0352,0.2788,1.9891,0.2963,0.0493
5.763,on,2.0601,0.2871,1.9891,0.2963,0.0715
5.814,on,2.0725,0.2916,1.9891,0.2963,0.0835
5.865,on,2.0973,0.3001,1.9891,0.2963,0.1082
5.916,on,2.1096,0.3047,1.9891,0.2963,0.1208
5.967,on,2.1344,0.3135,1.9891,0.2963,0.1463
6.018,on,2.1479,0.3187,1.9891,0.2963,0.1603
6.069,on,2.1726,0.3277,1.9891,0.2963,0.1861
6.120,on,2.1972,0.3368,1.9891,0.2963,0.2120
6.171,on,2.2094,0.3419,1.9891,0.2963,0.2250
6.222,on,2.2339,0.3513,1.9891,0.2963,0.2509
6.273,on,2.2461,0.3565,1.9891,0.2963,0.2639
6.324,on,2.2717,0.3666,1.9891,0.2963,0.2912
6.375,on,2.2838,0.3719,1.9891,0.2963,0.3042
6.426,on,2.3082,0.3819,1.9891,0.2963,0.3303
6.477,on,2.3202,0.3874,1.9891,0.2963,0.3434
