t,phase,ego_x,ego_y,gps_x,gps_y,err
4.940,on,0.6911,-0.3234,0.6911,-0.3234,0.0000
4.992,on,0.7084,-0.3404,0.6911,-0.3234,0.0242
5.044,on,0.7273,-0.3587,0.6911,-0.3234,0.0505
5.094,on,0.7373,-0.3684,0.6911,-0.3234,0.0644
5.146,on,0.7561,-0.3868,0.6911,-0.3234,0.0907
5.196,on,0.7660,-0.3963,0.6911,-0.3234,0.1045
5.248,on,0.7849,-0.4146,0.6911,-0.3234,0.1308
5.300,on,0.7948,-0.4241,0.6911,-0.3234,0.1445
5.350,on,0.8138,-0.4424,0.6911,-0.3234,0.1709
5.402,on,0.8236,-0.4519,0.6911,-0.3234,0.1845
5.454,on,0.8426,-0.4701,0.6911,-0.3234,0.2109
5.504,on,0.8525,-0.4795,0.6911,-0.3234,0.2245
5.556,on,0.8715,-0.4978,0.6911,-0.3234,0.2509
5.608,on,0.8906,-0.5160,0.6911,-0.3234,0.2773
5.658,on,0.9005,-0.5254,0.6911,-0.3234,0.2909
5.710,on,0.9195,-0.5437,0.6911,-0.3234,0.3173
5.760,on,0.9291,-0.5534,0.6911,-0.3234,0.3309
5.812,on,0.9477,-0.5721,0.6911,-0.3234,0.3573
5.864,on,0.9570,-0.5820,0.6911,-0.3234,0.3709
5.914,on,0.9753,-0.6010,0.8692,-0.4836,0.1583
5.966,on,0.8805,-0.4952,0.8692,-0.4836,0.0162
6.018,on,0.8991,-0.5137,0.8692,-0.4836,0.0425
6.068,on,0.9086,-0.5234,0.8692,-0.4836,0.0560
6.120,on,0.9270,-0.5423,0.8692,-0.4836,0.0823
6.172,on,0.9362,-0.5522,0.8692,-0.4836,0.0959
6.222,on,0.9543,-0.5713,0.8692,-0.4836,0.1222
6.274,on,0.9634,-0.5813,0.8692,-0.4836,0.1358
6.324,on,0.9812,-0.6007,0.8692,-0.4836,0.1621
6.376,on,0.9989,-0.6214,0.8692,-0.4836,0.1892
6.428,on,1.0076,-0.6307,0.8692,-0.4836,0.2019
6.478,on,1.0248,-0.6517,0.8692,-0.4836,0.2291
6.530,on,1.0335,-0.6611,0.8692,-0.4836,0.2418
6.582,on,1.0506,-0.6822,0.8692,-0.4836,0.2690
6.632,on,1.0592,-0.6916,0.8692,-0.4836,0.2817
6.684,on,1.0763,-0.7128,0.8692,-0.4836,0.3089
6.736,on,1.0847,-0.7223,0.8692,-0.4836,0.3216
6.786,on,1.1018,-0.7435,0.8692,-0.4836,0.3488
6.838,on,1.1102,-0.7531,0.8692,-0.4836,0.3616
6.888,on,1.1273,-0.7743,0.8692,-0.4836,0.3887
6.940,on,1.1357,-0.7840,0.9693,-0.5220,0.3104
6.992,on,1.0646,-0.6656,0.9693,-0.5220,0.1723
7.042,on,1.0811,-0.6849,0.9693,-0.5220,0.1977
7.094,on,1.0898,-0.6952,0.9693,-0.5220,0.2110
7.146,on,1.1064,-0.7147,0.9693,-0.5220,0.2366
7.196,on,1.1152,-0.7250,0.9693,-0.5220,0.2500
7.248,on,1.1320,-0.7446,0.9693,-0.5220,0.2758
7.300,on,1.1408,-0.7549,0.9693,-0.5220,0.2893
7.350,on,1.1577,-0.7745,0.9693,-0.5220,0.3151
7.402,on,1.1667,-0.7848,0.9693,-0.5220,0.3287
7.452,on,1.1838,-0.8043,0.9693,-0.5220,0.3546
7.504,on,1.1928,-0.8145,0.9693,-0.5220,0.3682
7.556,on,1.2101,-0.8340,0.9693,-0.5220,0.3942
7.606,on,1.2193,-0.8441,0.9693,-0.5220,0.4078
7.658,on,1.2368,-0.8635,0.9693,-0.5220,0.4339
7.710,on,1.2544,-0.8829,0.9693,-0.5220,0.4600
7.760,on,1.2638,-0.8928,0.9693,-0.5220,0.4736
7.812,on,1.2815,-0.9121,0.9693,-0.5220,0.4997
7.864,on,1.2911,-0.9219,0.9693,-0.5220,0.5133
7.914,on,1.3090,-0.9410,1.3381,-0.5828,0.3594
