t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
0.000,0.2959,0.0016,-0.3102,-0.0040,2.5198,0.0434
0.022,0.2962,0.0016,-0.3098,-0.0037,2.5191,0.0430
0.044,0.2968,0.0017,-0.3097,-0.0041,2.5186,0.0426
0.066,0.2974,0.0019,-0.3098,-0.0039,2.5186,0.0426
0.088,0.2984,0.0020,-0.3102,-0.0038,2.5187,0.0430
0.110,0.2995,0.0022,-0.3108,-0.0038,2.5195,0.0429
0.130,0.3023,0.0026,-0.3117,-0.0037,2.5195,0.0429
0.152,0.3041,0.0028,-0.3142,-0.0047,2.5212,0.0428
0.174,0.3061,0.0031,-0.3168,-0.0049,2.5250,0.0439
0.194,0.3084,0.0033,-0.3190,-0.0050,2.5250,0.0439
0.216,0.3109,0.0036,-0.3214,-0.0051,2.5283,0.0441
0.238,0.3169,0.0041,-0.3243,-0.0052,2.5283,0.0441
0.260,0.3203,0.0043,-0.3343,-0.0041,2.5332,0.0443
0.282,0.3241,0.0046,-0.3383,-0.0043,2.5458,0.0433
0.304,0.3283,0.0048,-0.3451,-0.0047,2.5528,0.0436
0.326,0.3327,0.0051,-0.3501,-0.0049,2.5528,0.0436
0.348,0.3424,0.0057,-0.3559,-0.0061,2.5615,0.0441
0.370,0.3477,0.0060,-0.3618,-0.0064,2.5615,0.0441
0.392,0.3533,0.0063,-0.3681,-0.0068,2.5716,0.0455
0.412,0.3592,0.0066,-0.3748,-0.0072,2.5818,0.0461
0.434,0.3653,0.0070,-0.3854,-0.0079,2.5818,0.0461
0.456,0.3784,0.0077,-0.3927,-0.0091,2.5941,0.0469
0.476,0.3854,0.0082,-0.4007,-0.0097,2.6067,0.0485
0.498,0.3926,0.0086,-0.4091,-0.0104,2.6067,0.0485
0.518,0.4001,0.0090,-0.4178,-0.0110,2.6199,0.0494
0.540,0.4078,0.0095,-0.4267,-0.0118,2.6353,0.0506
0.562,0.4238,0.0105,-0.4355,-0.0118,2.6353,0.0506
0.582,0.4319,0.0110,-0.4449,-0.0125,2.6504,0.0511
0.604,0.4402,0.0116,-0.4592,-0.0137,2.6656,0.0523
0.626,0.4485,0.0121,-0.4689,-0.0145,2.6656,0.0523
0.646,0.4568,0.0127,-0.4788,-0.0147,2.6822,0.0537
0.668,0.4652,0.0133,-0.4886,-0.0156,2.6822,0.0537
0.690,0.4822,0.0145,-0.4985,-0.0165,2.6990,0.0544
0.710,0.4907,0.0152,-0.5084,-0.0174,2.7149,0.0558
0.732,0.4993,0.0158,-0.5185,-0.0184,2.7149,0.0558
0.754,0.5079,0.0165,-0.5342,-0.0226,2.7320,0.0575
0.776,0.5165,0.0172,-0.5444,-0.0237,2.7498,0.0620
0.796,0.5338,0.0186,-0.5546,-0.0248,2.7498,0.0620
0.818,0.5424,0.0194,-0.5648,-0.0260,2.7662,0.0638
0.840,0.5511,0.0201,-0.5751,-0.0272,2.7836,0.0658
0.860,0.5597,0.0209,-0.5825,-0.0259,2.7836,0.0658
0.882,0.5683,0.0218,-0.5927,-0.0271,2.7980,0.0652
0.904,0.5856,0.0235,-0.6030,-0.0284,2.8144,0.0672
0.924,0.5943,0.0244,-0.6184,-0.0304,2.8144,0.0672
0.946,0.6029,0.0253,-0.6265,-0.0313,2.8320,0.0697
0.968,0.6116,0.0263,-0.6367,-0.0327,2.8320,0.0697
0.988,0.6202,0.0272,-0.6469,-0.0341,2.8472,0.0715
1.010,0.6289,0.0282,-0.6571,-0.0356,2.8635,0.0738
1.032,0.6462,0.0303,-0.6674,-0.0372,2.8635,0.0738
1.052,0.6549,0.0313,-0.6758,-0.0362,2.8810,0.0764
1.074,0.6674,0.0329,-0.6859,-0.0377,2.8964,0.0764
1.096,0.6761,0.0339,-0.7012,-0.0400,2.8964,0.0764
1.116,0.6847,0.0351,-0.7114,-0.0416,2.9127,0.0789
1.138,0.6934,0.0362,-0.7216,-0.0433,2.9301,0.0818
1.160,0.7021,0.0373,-0.7311,-0.0420,2.9301,0.0818
1.180,0.7107,0.0385,-0.7413,-0.0436,2.9467,0.0815
1.202,0.7281,0.0409,-0.7515,-0.0452,2.9467,0.0815
1.224,0.7368,0.0421,-0.7668,-0.0477,2.9630,0.0841
1.244,0.7454,0.0433,-0.7764,-0.0468,2.9804,0.0871
1.266,0.7541,0.0446,-0.7866,-0.0485,2.9804,0.0871
1.288,0.7628,0.0458,-0.7968,-0.0502,2.9971,0.0871
1.308,0.7802,0.0484,-0.8070,-0.0519,3.0134,0.0898
1.330,0.7888,0.0497,-0.8172,-0.0536,3.0134,0.0898
1.352,0.7975,0.0511,-0.8270,-0.0515,3.0309,0.0929
1.372,0.8063,0.0524,-0.8373,-0.0532,3.0478,0.0918
1.394,0.8150,0.0537,-0.8527,-0.0557,3.0478,0.0918
1.416,0.8324,0.0564,-0.8630,-0.0574,3.0643,0.0945
1.436,0.8412,0.0578,-0.8733,-0.0591,3.0643,0.0945
1.458,0.8499,0.0592,-0.8811,-0.0593,3.0818,0.0975
1.480,0.8587,0.0605,-0.8914,-0.0610,3.0967,0.0988
1.500,0.8674,0.0619,-0.9016,-0.0628,3.0967,0.0988
1.522,0.8762,0.0634,-0.9119,-0.0645,3.1131,0.1016
1.544,0.8937,0.0662,-0.9247,-0.0682,3.1306,0.1046
1.564,0.9025,0.0677,-0.9349,-0.0700,3.1306,0.1046
1.586,0.9112,0.0692,-0.9451,-0.0718,3.1453,0.1087
1.608,0.9200,0.0706,-0.9552,-0.0737,3.1616,0.1116
1.628,0.9288,0.0721,-0.9654,-0.0755,3.1616,0.1116
1.650,0.9463,0.0752,-0.9742,-0.0787,3.1791,0.1148
1.672,0.9551,0.0767,-0.9843,-0.0806,3.1948,0.1194
1.692,0.9639,0.0783,-0.9945,-0.0826,3.1948,0.1194
1.714,0.9727,0.0799,-1.0098,-0.0856,3.2112,0.1225
1.736,0.9815,0.0816,-1.0201,-0.0876,3.2112,0.1225
1.756,0.9903,0.0832,-1.0296,-0.0911,3.2286,0.1259
1.778,1.0080,0.0865,-1.0398,-0.0933,3.2452,0.1310
1.800,1.0168,0.0882,-1.0500,-0.0954,3.2452,0.1310
1.820,1.0256,0.0899,-1.0603,-0.0975,3.2616,0.1344
1.842,1.0345,0.0916,-1.0705,-0.0997,3.2791,0.1380
1.864,1.0433,0.0933,-1.0859,-0.1008,3.2791,0.1380
1.884,1.0610,0.0967,-1.0961,-0.1029,3.2964,0.1394
1.906,1.0699,0.0985,-1.1063,-0.1050,3.3128,0.1428
1.928,1.0787,0.1002,-1.1165,-0.1072,3.3128,0.1428
1.948,1.0875,0.1019,-1.1275,-0.1072,3.3302,0.1465
1.970,1.0963,0.1036,-1.1377,-0.1093,3.3302,0.1465
1.992,1.1139,0.1072,-1.1479,-0.1114,3.3483,0.1479
2.012,1.1227,0.1090,-1.1581,-0.1136,3.3646,0.1513
2.034,1.1314,0.1108,-1.1733,-0.1169,3.3646,0.1513
2.056,1.1401,0.1126,-1.1835,-0.1181,3.3818,0.1551
2.076,1.1488,0.1145,-1.1935,-0.1203,3.3991,0.1578
2.098,1.1575,0.1164,-1.2035,-0.1226,3.3991,0.1578
2.120,1.1748,0.1202,-1.2135,-0.1249,3.4151,0.1614
2.140,1.1834,0.1222,-1.2235,-0.1272,3.4320,0.1654
2.162,1.1919,0.1242,-1.2324,-0.1249,3.4320,0.1654
2.184,1.2005,0.1262,-1.2472,-0.1283,3.4478,0.1645
2.204,1.2091,0.1282,-1.2570,-0.1306,3.4636,0.1681
2.226,1.2262,0.1323,-1.2669,-0.1329,3.4636,0.1681
2.248,1.2347,0.1344,-1.2730,-0.1305,3.4804,0.1721
2.268,1.2432,0.1365,-1.2826,-0.1327,3.4804,0.1721
2.290,1.2517,0.1386,-1.2923,-0.1350,3.4931,0.1711
2.312,1.2602,0.1408,-1.3020,-0.1372,3.5085,0.1747
2.332,1.2687,0.1429,-1.3116,-0.1395,3.5085,0.1747
