t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
0.000,0.2960,0.0016,-0.2657,-0.0039,4.4762,0.3377
0.022,0.2960,0.0016,-0.2629,-0.0038,4.4762,0.3377
0.044,0.2963,0.0017,-0.2619,-0.0040,4.4732,0.3376
0.066,0.2969,0.0017,-0.2620,-0.0044,4.4728,0.3382
0.088,0.2976,0.0019,-0.2610,-0.0036,4.4728,0.3382
0.110,0.2985,0.0020,-0.2617,-0.0040,4.4720,0.3376
0.132,0.3009,0.0024,-0.2632,-0.0046,4.4735,0.3383
0.152,0.3024,0.0026,-0.2647,-0.0051,4.4735,0.3383
0.174,0.3042,0.0028,-0.2677,-0.0033,4.4763,0.3391
0.196,0.3063,0.0031,-0.2700,-0.0037,4.4763,0.3391
0.216,0.3085,0.0033,-0.2726,-0.0041,4.4810,0.3375
0.238,0.3111,0.0036,-0.2755,-0.0045,4.4853,0.3381
0.260,0.3171,0.0041,-0.2788,-0.0049,4.4853,0.3381
0.280,0.3206,0.0043,-0.2868,-0.0046,4.4913,0.3389
0.302,0.3244,0.0046,-0.2936,-0.0052,4.5027,0.3389
0.324,0.3286,0.0048,-0.2987,-0.0056,4.5027,0.3389
0.344,0.3330,0.0051,-0.3040,-0.0061,4.5106,0.3395
0.366,0.3428,0.0056,-0.3098,-0.0065,4.5106,0.3395
0.388,0.3481,0.0060,-0.3147,-0.0054,4.5203,0.3404
0.408,0.3537,0.0063,-0.3211,-0.0058,4.5294,0.3394
0.430,0.3596,0.0066,-0.3278,-0.0062,4.5294,0.3394
0.452,0.3658,0.0070,-0.3386,-0.0069,4.5401,0.3401
0.472,0.3722,0.0073,-0.3538,-0.0028,4.5527,0.3410
0.494,0.3858,0.0081,-0.3621,-0.0033,4.5527,0.3410
0.516,0.3931,0.0085,-0.3707,-0.0037,4.5742,0.3370
0.538,0.4006,0.0090,-0.3795,-0.0042,4.5881,0.3377
0.560,0.4083,0.0095,-0.3887,-0.0047,4.5881,0.3377
0.580,0.4162,0.0099,-0.3949,-0.0046,4.6036,0.3387
0.602,0.4324,0.0110,-0.4089,-0.0053,4.6163,0.3389
0.624,0.4406,0.0115,-0.4184,-0.0058,4.6163,0.3389
0.644,0.4489,0.0121,-0.4279,-0.0064,4.6314,0.3397
0.666,0.4573,0.0127,-0.4374,-0.0069,4.6477,0.3406
0.688,0.4648,0.0132,-0.4560,-0.0129,4.6477,0.3406
0.708,0.4826,0.0145,-0.4658,-0.0136,4.6734,0.3472
0.730,0.4912,0.0151,-0.4756,-0.0143,4.6734,0.3472
0.752,0.4997,0.0158,-0.4903,-0.0153,4.6890,0.3483
0.772,0.5083,0.0164,-0.4968,-0.0195,4.7054,0.3493
0.794,0.5170,0.0171,-0.5064,-0.0203,4.7054,0.3493
0.816,0.5343,0.0185,-0.5159,-0.0211,4.7185,0.3542
0.836,0.5429,0.0193,-0.5254,-0.0220,4.7338,0.3556
0.858,0.5516,0.0200,-0.5349,-0.0229,4.7338,0.3556
0.880,0.5602,0.0208,-0.5429,-0.0245,4.7499,0.3569
0.900,0.5689,0.0216,-0.5522,-0.0255,4.7644,0.3593
0.922,0.5776,0.0225,-0.5661,-0.0270,4.7644,0.3593
0.944,0.5949,0.0242,-0.5754,-0.0280,4.7792,0.3609
0.964,0.6035,0.0251,-0.5846,-0.0291,4.7792,0.3609
0.986,0.6122,0.0261,-0.5936,-0.0313,4.7949,0.3627
1.008,0.6209,0.0270,-0.6027,-0.0325,4.8103,0.3657
1.028,0.6295,0.0280,-0.6119,-0.0336,4.8103,0.3657
1.050,0.6469,0.0300,-0.6209,-0.0348,4.8249,0.3676
1.072,0.6556,0.0311,-0.6354,-0.0349,4.8404,0.3696
1.092,0.6633,0.0320,-0.6444,-0.0360,4.8404,0.3696
1.114,0.6719,0.0331,-0.6534,-0.0372,4.8566,0.3698
1.136,0.6806,0.0342,-0.6624,-0.0385,4.8710,0.3717
1.156,0.6979,0.0364,-0.6714,-0.0397,4.8710,0.3717
1.178,0.7066,0.0376,-0.6830,-0.0408,4.8862,0.3739
1.200,0.7153,0.0388,-0.6920,-0.0421,4.9043,0.3759
1.220,0.7239,0.0400,-0.7011,-0.0434,4.9043,0.3759
1.242,0.7326,0.0412,-0.7145,-0.0454,4.9187,0.3780
1.264,0.7500,0.0436,-0.7235,-0.0468,4.9187,0.3780
1.284,0.7587,0.0449,-0.7338,-0.0465,4.9338,0.3803
1.306,0.7673,0.0462,-0.7428,-0.0479,4.9505,0.3809
1.328,0.7760,0.0474,-0.7517,-0.0492,4.9505,0.3809
1.348,0.7847,0.0487,-0.7607,-0.0506,4.9648,0.3831
1.370,0.8011,0.0512,-0.7696,-0.0519,4.9799,0.3855
1.392,0.8099,0.0526,-0.7849,-0.0519,4.9799,0.3855
1.412,0.8186,0.0539,-0.7939,-0.0532,4.9971,0.3856
1.434,0.8273,0.0552,-0.8028,-0.0546,5.0115,0.3878
1.456,0.8361,0.0566,-0.8118,-0.0559,5.0115,0.3878
1.476,0.8448,0.0580,-0.8217,-0.0571,5.0266,0.3901
1.498,0.8623,0.0607,-0.8307,-0.0584,5.0266,0.3901
1.520,0.8710,0.0621,-0.8396,-0.0598,5.0428,0.3922
1.540,0.8798,0.0636,-0.8486,-0.0612,5.0572,0.3944
1.562,0.8886,0.0650,-0.8620,-0.0633,5.0572,0.3944
1.584,0.8973,0.0664,-0.8745,-0.0677,5.0723,0.3968
1.604,0.9071,0.0681,-0.8835,-0.0692,5.0913,0.4024
1.626,0.9246,0.0710,-0.8926,-0.0707,5.0913,0.4024
1.648,0.9333,0.0725,-0.9016,-0.0723,5.1057,0.4048
1.668,0.9421,0.0740,-0.9106,-0.0738,5.1209,0.4073
1.690,0.9509,0.0756,-0.9217,-0.0777,5.1209,0.4073
1.712,0.9597,0.0771,-0.9353,-0.0802,5.1384,0.4125
1.732,0.9773,0.0803,-0.9398,-0.0811,5.1384,0.4125
1.754,0.9861,0.0820,-0.9535,-0.0837,5.1530,0.4152
1.776,0.9949,0.0836,-0.9643,-0.0841,5.1683,0.4181
1.796,1.0037,0.0853,-0.9734,-0.0858,5.1683,0.4181
1.818,1.0125,0.0870,-0.9825,-0.0876,5.1856,0.4197
1.840,1.0302,0.0903,-0.9916,-0.0893,5.2002,0.4225
1.860,1.0390,0.0920,-1.0007,-0.0910,5.2002,0.4225
1.882,1.0479,0.0936,-1.0157,-0.0942,5.2156,0.4254
1.904,1.0567,0.0953,-1.0248,-0.0959,5.2325,0.4289
1.924,1.0655,0.0970,-1.0340,-0.0977,5.2325,0.4289
1.946,1.0744,0.0987,-1.0430,-0.0994,5.2471,0.4317
1.968,1.0920,0.1021,-1.0521,-0.1012,5.2624,0.4347
1.988,1.1008,0.1039,-1.0664,-0.1028,5.2624,0.4347
2.010,1.1095,0.1056,-1.0756,-0.1047,5.2833,0.4376
2.032,1.1183,0.1074,-1.0893,-0.1074,5.2980,0.4406
2.052,1.1271,0.1092,-1.0984,-0.1093,5.2980,0.4406
2.074,1.1445,0.1128,-1.1122,-0.1118,5.3133,0.4438
2.096,1.1532,0.1147,-1.1214,-0.1137,5.3133,0.4438
2.116,1.1618,0.1166,-1.1305,-0.1157,5.3337,0.4476
2.138,1.1705,0.1185,-1.1397,-0.1178,5.3483,0.4508
2.160,1.1791,0.1205,-1.1488,-0.1198,5.3483,0.4508
2.182,1.1962,0.1244,-1.1589,-0.1222,5.3636,0.4543
2.202,1.2048,0.1264,-1.1725,-0.1254,5.3802,0.4582
2.224,1.2134,0.1284,-1.1816,-0.1275,5.3802,0.4582
2.246,1.2219,0.1305,-1.1907,-0.1297,5.3947,0.4616
2.266,1.2304,0.1326,-1.1997,-0.1319,5.4101,0.4653
2.288,1.2389,0.1347,-1.2108,-0.1338,5.4101,0.4653
2.310,1.2560,0.1389,-1.2199,-0.1360,5.4275,0.4687
2.330,1.2645,0.1410,-1.2289,-0.1382,5.4275,0.4687
2.352,1.2729,0.1432,-1.2426,-0.1416,5.4421,0.4723
2.374,1.2814,0.1454,-1.2547,-0.1462,5.4574,0.4762
2.394,1.2899,0.1476,-1.2639,-0.1486,5.4574,0.4762
2.416,1.3068,0.1520,-1.2731,-0.1510,5.4762,0.4825
2.438,1.3153,0.1543,-1.2822,-0.1534,5.4908,0.4863
2.458,1.3238,0.1565,-1.2914,-0.1558,5.4908,0.4863
2.480,1.3322,0.1588,-1.3001,-0.1587,5.5063,0.4904
2.502,1.3407,0.1611,-1.3139,-0.1624,5.5214,0.4951
2.522,1.3492,0.1634,-1.3231,-0.1649,5.5214,0.4951
2.544,1.3662,0.1681,-1.3323,-0.1675,5.5362,0.4991
2.566,1.3747,0.1705,-1.3415,-0.1701,5.5519,0.5034
2.586,1.3831,0.1728,-1.3533,-0.1747,5.5519,0.5034
2.608,1.3916,0.1752,-1.3626,-0.1774,5.5702,0.5100
2.630,1.4000,0.1777,-1.3718,-0.1801,5.5702,0.5100
2.650,1.4168,0.1825,-1.3811,-0.1829,5.5850,0.5143
2.672,1.4252,0.1850,-1.3976,-0.1869,5.6007,0.5190
2.694,1.4336,0.1875,-1.4069,-0.1896,5.6007,0.5190
2.714,1.4420,0.1900,-1.4163,-0.1924,5.6192,0.5235
2.736,1.4504,0.1925,-1.4256,-0.1952,5.6342,0.5280
2.758,1.4671,0.1976,-1.4349,-0.1981,5.6342,0.5280
2.778,1.4754,0.2002,-1.4435,-0.2008,5.6499,0.5328
2.800,1.4838,0.2027,-1.4528,-0.2037,5.6650,0.5376
2.822,1.4921,0.2054,-1.4669,-0.2080,5.6650,0.5376
2.842,1.5005,0.2080,-1.4762,-0.2109,5.6800,0.5422
2.864,1.5088,0.2106,-1.4856,-0.2139,5.6800,0.5422
2.886,1.5255,0.2160,-1.4884,-0.2175,5.6959,0.5472
2.906,1.5339,0.2186,-1.4977,-0.2205,5.7050,0.5529
2.928,1.5422,0.2213,-1.5069,-0.2235,5.7050,0.5529
2.950,1.5505,0.2240,-1.5162,-0.2265,5.7198,0.5577
2.970,1.5589,0.2267,-1.5254,-0.2295,5.7358,0.5629
2.992,1.5756,0.2322,-1.5416,-0.2332,5.7358,0.5629
3.014,1.5839,0.2349,-1.5509,-0.2363,5.7538,0.5672
3.034,1.5923,0.2377,-1.5603,-0.2394,5.7688,0.5720
3.056,1.6006,0.2405,-1.5696,-0.2424,5.7688,0.5720
