t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
0.000,0.3126,-0.0254,-0.0274,-0.2866,2.8868,-0.0939
0.021,0.3126,-0.0254,-0.0276,-0.2847,2.8868,-0.0939
0.042,0.3126,-0.0254,-0.0271,-0.2860,2.8867,-0.0936
0.063,0.3126,-0.0254,-0.0273,-0.2848,2.8867,-0.0936
0.084,0.3131,-0.0254,-0.0274,-0.2847,2.8845,-0.0938
0.105,0.3146,-0.0257,-0.0277,-0.2851,2.8847,-0.0941
0.126,0.3158,-0.0259,-0.0279,-0.2857,2.8847,-0.0941
0.147,0.3172,-0.0262,-0.0276,-0.2927,2.8901,-0.0939
0.168,0.3187,-0.0265,-0.0279,-0.2949,2.8931,-0.0944
0.189,0.3207,-0.0268,-0.0283,-0.2977,2.8931,-0.0944
0.210,0.3229,-0.0271,-0.0286,-0.3003,2.8972,-0.0950
0.231,0.3280,-0.0278,-0.0274,-0.3077,2.9069,-0.0939
0.252,0.3311,-0.0281,-0.0277,-0.3117,2.9069,-0.0939
0.273,0.3343,-0.0285,-0.0281,-0.3153,2.9133,-0.0944
0.294,0.3379,-0.0288,-0.0284,-0.3199,2.9133,-0.0944
0.315,0.3417,-0.0292,-0.0288,-0.3247,2.9203,-0.0949
0.336,0.3458,-0.0295,-0.0290,-0.3286,2.9284,-0.0954
0.357,0.3548,-0.0302,-0.0296,-0.3366,2.9284,-0.0954
0.378,0.3596,-0.0306,-0.0300,-0.3425,2.9371,-0.0961
0.399,0.3648,-0.0310,-0.0305,-0.3488,2.9466,-0.0968
0.420,0.3702,-0.0313,-0.0309,-0.3545,2.9466,-0.0968
0.441,0.3759,-0.0317,-0.0305,-0.3632,2.9587,-0.0969
0.462,0.3818,-0.0321,-0.0310,-0.3705,2.9587,-0.0969
0.483,0.3945,-0.0328,-0.0314,-0.3771,2.9701,-0.0976
0.504,0.4012,-0.0332,-0.0319,-0.3851,2.9823,-0.0983
0.525,0.4082,-0.0336,-0.0324,-0.3935,2.9823,-0.0983
0.546,0.4154,-0.0339,-0.0322,-0.4001,2.9948,-0.0984
0.567,0.4229,-0.0343,-0.0329,-0.4129,3.0086,-0.0991
0.588,0.4305,-0.0347,-0.0333,-0.4222,3.0086,-0.0991
0.609,0.4464,-0.0354,-0.0338,-0.4317,3.0231,-0.0998
0.630,0.4545,-0.0357,-0.0354,-0.4394,3.0231,-0.0998
0.651,0.4627,-0.0360,-0.0359,-0.4491,3.0390,-0.1020
0.672,0.4710,-0.0364,-0.0363,-0.4589,3.0543,-0.1027
0.693,0.4793,-0.0367,-0.0367,-0.4674,3.0543,-0.1027
0.714,0.4877,-0.0370,-0.0371,-0.4774,3.0698,-0.1034
0.735,0.5047,-0.0375,-0.0354,-0.4844,3.0832,-0.1022
0.756,0.5133,-0.0378,-0.0357,-0.4929,3.0832,-0.1022
0.777,0.5218,-0.0380,-0.0362,-0.5072,3.0987,-0.1027
0.798,0.5305,-0.0382,-0.0365,-0.5172,3.1143,-0.1032
0.819,0.5391,-0.0384,-0.0367,-0.5272,3.1143,-0.1032
0.840,0.5478,-0.0386,-0.0351,-0.5360,3.1304,-0.1018
0.861,0.5653,-0.0387,-0.0352,-0.5461,3.1304,-0.1018
0.882,0.5740,-0.0386,-0.0351,-0.5561,3.1462,-0.1018
0.903,0.5828,-0.0385,-0.0350,-0.5648,3.1620,-0.1016
0.924,0.5915,-0.0383,-0.0348,-0.5748,3.1620,-0.1016
0.945,0.6003,-0.0380,-0.0346,-0.5857,3.1801,-0.1014
0.966,0.6090,-0.0377,-0.0343,-0.5943,3.1959,-0.1009
0.987,0.6264,-0.0371,-0.0338,-0.6086,3.1959,-0.1009
