t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
0.000,0.2968,0.0065,-0.2691,-0.0100,2.1191,0.1076
0.020,0.2968,0.0065,-0.2700,-0.0100,2.1205,0.1076
0.042,0.2974,0.0066,-0.2709,-0.0100,2.1205,0.1076
0.064,0.2981,0.0067,-0.2721,-0.0101,2.1221,0.1076
0.084,0.2988,0.0068,-0.2710,-0.0104,2.1221,0.1076
0.106,0.2999,0.0070,-0.2721,-0.0105,2.1217,0.1080
0.128,0.3026,0.0075,-0.2734,-0.0106,2.1236,0.1082
0.148,0.3042,0.0078,-0.2749,-0.0108,2.1236,0.1082
0.170,0.3063,0.0080,-0.2769,-0.0118,2.1264,0.1085
0.192,0.3110,0.0086,-0.2789,-0.0120,2.1287,0.1095
0.214,0.3139,0.0089,-0.2813,-0.0122,2.1287,0.1095
0.236,0.3167,0.0091,-0.2839,-0.0124,2.1323,0.1098
0.258,0.3198,0.0094,-0.2883,-0.0127,2.1372,0.1102
0.280,0.3269,0.0100,-0.2926,-0.0138,2.1372,0.1102
0.302,0.3307,0.0103,-0.2962,-0.0141,2.1435,0.1114
0.324,0.3351,0.0107,-0.3001,-0.0144,2.1494,0.1118
0.346,0.3442,0.0114,-0.3043,-0.0147,2.1494,0.1118
0.366,0.3494,0.0118,-0.3087,-0.0150,2.1568,0.1123
0.388,0.3543,0.0122,-0.3158,-0.0151,2.1669,0.1127
0.410,0.3594,0.0126,-0.3236,-0.0157,2.1669,0.1127
0.430,0.3708,0.0135,-0.3292,-0.0161,2.1752,0.1133
0.452,0.3759,0.0139,-0.3350,-0.0166,2.1851,0.1140
0.474,0.3879,0.0148,-0.3429,-0.0175,2.1851,0.1140
0.496,0.3951,0.0154,-0.3495,-0.0180,2.1974,0.1152
0.518,0.4025,0.0160,-0.3599,-0.0188,2.2083,0.1161
0.540,0.4101,0.0166,-0.3672,-0.0195,2.2083,0.1161
0.562,0.4180,0.0173,-0.3746,-0.0201,2.2208,0.1171
0.584,0.4331,0.0186,-0.3833,-0.0224,2.2208,0.1171
0.606,0.4413,0.0193,-0.3910,-0.0231,2.2347,0.1198
0.628,0.4496,0.0200,-0.3988,-0.0238,2.2471,0.1209
0.648,0.4579,0.0208,-0.4106,-0.0250,2.2471,0.1209
0.670,0.4746,0.0223,-0.4207,-0.0268,2.2605,0.1222
0.692,0.4821,0.0230,-0.4288,-0.0276,2.2762,0.1245
0.712,0.4906,0.0238,-0.4370,-0.0285,2.2762,0.1245
0.734,0.4982,0.0245,-0.4452,-0.0293,2.2893,0.1259
0.756,0.5144,0.0261,-0.4534,-0.0302,2.3032,0.1273
0.778,0.5230,0.0270,-0.4711,-0.0385,2.3032,0.1273
0.800,0.5317,0.0279,-0.4843,-0.0401,2.3272,0.1364
0.822,0.5403,0.0288,-0.4931,-0.0412,2.3413,0.1382
0.844,0.5565,0.0306,-0.5019,-0.0424,2.3413,0.1382
0.866,0.5651,0.0316,-0.5107,-0.0436,2.3560,0.1400
0.888,0.5775,0.0331,-0.5268,-0.0423,2.3785,0.1395
0.910,0.5862,0.0342,-0.5408,-0.0441,2.3785,0.1395
0.930,0.5948,0.0353,-0.5501,-0.0453,2.3934,0.1414
0.952,0.6025,0.0363,-0.5594,-0.0465,2.4090,0.1436
0.974,0.6188,0.0384,-0.5700,-0.0488,2.4090,0.1436
0.994,0.6274,0.0396,-0.5795,-0.0501,2.4263,0.1468
1.016,0.6370,0.0409,-0.5890,-0.0514,2.4263,0.1468
1.038,0.6447,0.0420,-0.5985,-0.0528,2.4415,0.1489
1.060,0.6610,0.0443,-0.6128,-0.0549,2.4576,0.1513
1.082,0.6678,0.0453,-0.6230,-0.0548,2.4576,0.1513
1.104,0.6764,0.0466,-0.6326,-0.0562,2.4746,0.1522
1.126,0.6850,0.0479,-0.6422,-0.0577,2.4899,0.1545
1.148,0.7023,0.0505,-0.6566,-0.0599,2.4899,0.1545
1.170,0.7100,0.0517,-0.6657,-0.0599,2.5062,0.1571
1.192,0.7177,0.0529,-0.6753,-0.0614,2.5220,0.1580
1.212,0.7264,0.0543,-0.6849,-0.0628,2.5220,0.1580
1.234,0.7437,0.0571,-0.6946,-0.0644,2.5374,0.1604
1.256,0.7523,0.0585,-0.7042,-0.0659,2.5538,0.1631
1.278,0.7610,0.0599,-0.7127,-0.0658,2.5538,0.1631
1.300,0.7687,0.0612,-0.7271,-0.0681,2.5690,0.1641
1.322,0.7860,0.0642,-0.7367,-0.0697,2.5844,0.1666
1.344,0.7947,0.0657,-0.7464,-0.0712,2.5844,0.1666
1.366,0.8024,0.0670,-0.7561,-0.0728,2.6009,0.1693
1.388,0.8188,0.0699,-0.7659,-0.0754,2.6174,0.1731
1.410,0.8275,0.0714,-0.7806,-0.0779,2.6174,0.1731
1.430,0.8362,0.0730,-0.7903,-0.0795,2.6330,0.1757
1.452,0.8449,0.0745,-0.8001,-0.0811,2.6497,0.1785
1.474,0.8527,0.0759,-0.8101,-0.0804,2.6497,0.1785
1.494,0.8691,0.0789,-0.8200,-0.0821,2.6666,0.1789
1.516,0.8779,0.0805,-0.8298,-0.0837,2.6666,0.1789
1.538,0.8866,0.0821,-0.8397,-0.0853,2.6823,0.1815
1.560,0.8953,0.0838,-0.8545,-0.0878,2.6991,0.1845
1.582,0.9118,0.0869,-0.8632,-0.0895,2.6991,0.1845
1.604,0.9196,0.0884,-0.8732,-0.0912,2.7147,0.1874
1.626,0.9284,0.0901,-0.8831,-0.0930,2.7306,0.1901
1.648,0.9372,0.0918,-0.8981,-0.0956,2.7306,0.1901
1.670,0.9548,0.0954,-0.9041,-0.0946,2.7477,0.1932
1.692,0.9626,0.0970,-0.9140,-0.0964,2.7604,0.1934
1.712,0.9704,0.0986,-0.9239,-0.0982,2.7604,0.1934
1.734,0.9792,0.1004,-0.9339,-0.1000,2.7763,0.1963
1.756,0.9968,0.1042,-0.9438,-0.1018,2.7933,0.1995
1.776,1.0047,0.1058,-0.9494,-0.1016,2.7933,0.1995
1.798,1.0135,0.1077,-0.9593,-0.1033,2.8057,0.2005
1.820,1.0223,0.1095,-0.9741,-0.1060,2.8215,0.2033
1.842,1.0390,0.1131,-0.9840,-0.1077,2.8215,0.2033
1.864,1.0478,0.1150,-0.9939,-0.1095,2.8385,0.2064
1.886,1.0557,0.1167,-0.9999,-0.1100,2.8512,0.2082
1.908,1.0635,0.1184,-1.0145,-0.1126,2.8512,0.2082
1.930,1.0821,0.1224,-1.0243,-0.1144,2.8669,0.2110
1.952,1.0909,0.1243,-1.0341,-0.1161,2.8837,0.2140
1.974,1.0987,0.1260,-1.0383,-0.1178,2.8837,0.2140
1.994,1.1143,0.1295,-1.0479,-0.1195,2.8944,0.2169
2.016,1.1230,0.1315,-1.0575,-0.1213,2.8944,0.2169
2.038,1.1317,0.1335,-1.0671,-0.1231,2.9097,0.2198
2.058,1.1405,0.1355,-1.0766,-0.1249,2.9262,0.2229
2.080,1.1492,0.1376,-1.0921,-0.1268,2.9262,0.2229
2.102,1.1637,0.1411,-1.1017,-0.1287,2.9435,0.2252
2.124,1.1714,0.1430,-1.1113,-0.1306,2.9588,0.2282
2.146,1.1878,0.1470,-1.1209,-0.1326,2.9588,0.2282
2.168,1.1955,0.1489,-1.1304,-0.1345,2.9751,0.2316
2.190,1.2032,0.1508,-1.1441,-0.1377,2.9907,0.2351
2.212,1.2119,0.1530,-1.1536,-0.1397,2.9907,0.2351
