t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
0.000,0.3148,0.0026,-0.2802,0.0005,2.4101,-0.0044
0.022,0.3148,0.0026,-0.2819,0.0003,2.4121,-0.0044
0.044,0.3155,0.0027,-0.2832,0.0003,2.4147,-0.0043
0.066,0.3162,0.0028,-0.2847,0.0003,2.4147,-0.0043
0.088,0.3169,0.0029,-0.2863,0.0002,2.4170,-0.0042
0.110,0.3190,0.0032,-0.2878,0.0000,2.4200,-0.0041
0.130,0.3200,0.0034,-0.2897,-0.0001,2.4200,-0.0041
0.152,0.3234,0.0039,-0.2920,-0.0003,2.4219,-0.0038
0.174,0.3256,0.0041,-0.2946,-0.0005,2.4256,-0.0035
0.196,0.3281,0.0044,-0.2974,-0.0006,2.4256,-0.0035
0.218,0.3333,0.0048,-0.3007,-0.0012,2.4307,-0.0033
0.240,0.3348,0.0049,-0.3041,-0.0014,2.4346,-0.0026
0.262,0.3415,0.0054,-0.3079,-0.0016,2.4346,-0.0026
0.284,0.3450,0.0056,-0.3119,-0.0018,2.4405,-0.0023
0.306,0.3492,0.0059,-0.3162,-0.0020,2.4479,-0.0019
0.328,0.3568,0.0064,-0.3200,-0.0031,2.4479,-0.0019
0.348,0.3611,0.0066,-0.3248,-0.0033,2.4547,-0.0007
0.370,0.3657,0.0069,-0.3326,-0.0038,2.4628,-0.0003
0.392,0.3762,0.0076,-0.3382,-0.0041,2.4628,-0.0003
0.412,0.3821,0.0079,-0.3441,-0.0044,2.4726,0.0002
0.434,0.3868,0.0082,-0.3473,-0.0049,2.4726,0.0002
0.456,0.3991,0.0090,-0.3536,-0.0053,2.4798,0.0009
0.478,0.4052,0.0094,-0.3636,-0.0060,2.4900,0.0016
0.500,0.4116,0.0098,-0.3707,-0.0064,2.4900,0.0016
0.522,0.4248,0.0107,-0.3797,-0.0077,2.5021,0.0024
0.544,0.4326,0.0112,-0.3874,-0.0083,2.5162,0.0040
0.566,0.4405,0.0117,-0.3953,-0.0089,2.5162,0.0040
0.588,0.4477,0.0122,-0.4033,-0.0095,2.5288,0.0049
0.610,0.4639,0.0133,-0.4154,-0.0105,2.5426,0.0060
0.630,0.4713,0.0139,-0.4287,-0.0106,2.5426,0.0060
0.652,0.4796,0.0145,-0.4373,-0.0113,2.5616,0.0066
0.674,0.4880,0.0152,-0.4459,-0.0120,2.5753,0.0077
0.694,0.4965,0.0159,-0.4546,-0.0128,2.5753,0.0077
