t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
0.000,0.6591,-0.0475,-0.0406,-0.7015,0.3540,-0.0240
0.021,0.6591,-0.0475,-0.0406,-0.7027,0.3540,-0.0240
0.042,0.6599,-0.0475,-0.0407,-0.7042,0.3561,-0.0240
0.063,0.6606,-0.0475,-0.0407,-0.7025,0.3551,-0.0241
0.084,0.6615,-0.0475,-0.0408,-0.7039,0.3551,-0.0241
0.105,0.6628,-0.0476,-0.0409,-0.7060,0.3577,-0.0243
0.126,0.6643,-0.0476,-0.0411,-0.7083,0.3577,-0.0243
0.147,0.6660,-0.0477,-0.0412,-0.7105,0.3612,-0.0246
0.168,0.6705,-0.0478,-0.0414,-0.7116,0.3625,-0.0248
0.189,0.6732,-0.0479,-0.0416,-0.7150,0.3625,-0.0248
0.210,0.6762,-0.0480,-0.0418,-0.7190,0.3674,-0.0251
0.231,0.6795,-0.0481,-0.0420,-0.7226,0.3735,-0.0255
0.252,0.6830,-0.0482,-0.0419,-0.7246,0.3735,-0.0255
0.273,0.6869,-0.0483,-0.0421,-0.7297,0.3790,-0.0256
0.294,0.6955,-0.0486,-0.0423,-0.7344,0.3790,-0.0256
0.315,0.7002,-0.0487,-0.0425,-0.7404,0.3872,-0.0261
0.336,0.7052,-0.0488,-0.0427,-0.7467,0.3967,-0.0265
0.357,0.7105,-0.0489,-0.0429,-0.7525,0.3967,-0.0265
0.378,0.7159,-0.0491,-0.0426,-0.7595,0.4053,-0.0264
0.399,0.7215,-0.0493,-0.0428,-0.7667,0.4162,-0.0269
0.420,0.7334,-0.0497,-0.0431,-0.7742,0.4162,-0.0269
0.441,0.7397,-0.0499,-0.0434,-0.7808,0.4278,-0.0275
0.462,0.7462,-0.0502,-0.0435,-0.7861,0.4377,-0.0279
0.483,0.7529,-0.0506,-0.0439,-0.7943,0.4377,-0.0279
0.504,0.7598,-0.0509,-0.0443,-0.8015,0.4503,-0.0286
0.525,0.7669,-0.0513,-0.0447,-0.8101,0.4503,-0.0286
0.546,0.7816,-0.0522,-0.0452,-0.8191,0.4637,-0.0295
0.567,0.7893,-0.0527,-0.0452,-0.8249,0.4773,-0.0301
0.588,0.7970,-0.0532,-0.0460,-0.8381,0.4773,-0.0301
0.609,0.8048,-0.0537,-0.0466,-0.8475,0.4916,-0.0311
0.630,0.8128,-0.0542,-0.0472,-0.8570,0.5064,-0.0322
0.651,0.8208,-0.0547,-0.0477,-0.8653,0.5064,-0.0322
0.672,0.8371,-0.0558,-0.0475,-0.8742,0.5211,-0.0327
0.693,0.8453,-0.0564,-0.0480,-0.8839,0.5211,-0.0327
0.714,0.8535,-0.0569,-0.0485,-0.8923,0.5363,-0.0337
0.735,0.8619,-0.0575,-0.0491,-0.9022,0.5518,-0.0348
0.756,0.8702,-0.0581,-0.0498,-0.9106,0.5518,-0.0348
0.777,0.8786,-0.0586,-0.0503,-0.9190,0.5661,-0.0360
0.798,0.8955,-0.0597,-0.0512,-0.9332,0.5816,-0.0371
0.819,0.9040,-0.0603,-0.0517,-0.9432,0.5816,-0.0371
0.840,0.9125,-0.0608,-0.0522,-0.9533,0.5973,-0.0382
0.861,0.9212,-0.0613,-0.0531,-0.9616,0.5973,-0.0382
0.882,0.9298,-0.0617,-0.0536,-0.9717,0.6142,-0.0397
0.903,0.9385,-0.0621,-0.0539,-0.9820,0.6302,-0.0406
0.924,0.9561,-0.0628,-0.0542,-0.9908,0.6302,-0.0406
0.945,0.9649,-0.0630,-0.0545,-1.0011,0.6463,-0.0413
0.966,0.9737,-0.0633,-0.0549,-1.0104,0.6617,-0.0420
0.987,0.9825,-0.0635,-0.0551,-1.0192,0.6617,-0.0420
1.008,0.9913,-0.0636,-0.0553,-1.0339,0.6778,-0.0425
1.029,1.0002,-0.0637,-0.0553,-1.0442,0.6940,-0.0428
1.050,1.0178,-0.0638,-0.0554,-1.0533,0.6940,-0.0428
1.071,1.0266,-0.0638,-0.0553,-1.0620,0.7092,-0.0430
1.092,1.0354,-0.0637,-0.0552,-1.0722,0.7092,-0.0430
1.113,1.0442,-0.0637,-0.0551,-1.0824,0.7252,-0.0430
1.134,1.0530,-0.0636,-0.0550,-1.0911,0.7412,-0.0430
1.155,1.0618,-0.0635,-0.0547,-1.1007,0.7412,-0.0430
1.176,1.0794,-0.0632,-0.0545,-1.1108,0.7579,-0.0428
1.197,1.0882,-0.0630,-0.0543,-1.1195,0.7738,-0.0426
1.218,1.0970,-0.0629,-0.0539,-1.1339,0.7738,-0.0426
1.239,1.1058,-0.0627,-0.0536,-1.1440,0.7897,-0.0424
1.260,1.1146,-0.0625,-0.0531,-1.1533,0.7897,-0.0424
1.281,1.1233,-0.0623,-0.0528,-1.1619,0.8049,-0.0419
1.302,1.1407,-0.0619,-0.0525,-1.1719,0.8206,-0.0416
1.323,1.1494,-0.0617,-0.0523,-1.1818,0.8206,-0.0416
1.344,1.1581,-0.0615,-0.0520,-1.1902,0.8362,-0.0413
1.365,1.1667,-0.0613,-0.0510,-1.2000,0.8517,-0.0403
1.386,1.1753,-0.0611,-0.0507,-1.2098,0.8517,-0.0403
1.407,1.1839,-0.0609,-0.0504,-1.2182,0.8670,-0.0399
1.428,1.2010,-0.0605,-0.0499,-1.2321,0.8824,-0.0396
1.449,1.2095,-0.0603,-0.0511,-1.2415,0.8824,-0.0396
1.470,1.2181,-0.0600,-0.0508,-1.2512,0.8986,-0.0409
1.491,1.2266,-0.0598,-0.0505,-1.2595,0.8986,-0.0409
1.512,1.2351,-0.0595,-0.0502,-1.2691,0.9138,-0.0406
1.533,1.2436,-0.0593,-0.0498,-1.2787,0.9290,-0.0402
1.554,1.2607,-0.0587,-0.0495,-1.2869,0.9290,-0.0402
1.575,1.2692,-0.0584,-0.0486,-1.2959,0.9435,-0.0393
1.596,1.2777,-0.0581,-0.0482,-1.3054,0.9586,-0.0389
1.617,1.2861,-0.0578,-0.0478,-1.3136,0.9586,-0.0389
1.638,1.2946,-0.0576,-0.0473,-1.3272,0.9735,-0.0384
1.659,1.3031,-0.0573,-0.0471,-1.3368,0.9735,-0.0384
1.680,1.3200,-0.0569,-0.0468,-1.3463,0.9886,-0.0381
1.701,1.3285,-0.0567,-0.0465,-1.3545,1.0035,-0.0378
1.722,1.3370,-0.0565,-0.0462,-1.3639,1.0035,-0.0378
1.743,1.3455,-0.0563,-0.0459,-1.3734,1.0184,-0.0375
1.764,1.3554,-0.0561,-0.0462,-1.3825,1.0358,-0.0378
1.785,1.3624,-0.0559,-0.0459,-1.3920,1.0358,-0.0378
1.806,1.3723,-0.0557,-0.0456,-1.4016,1.0508,-0.0375
1.827,1.3895,-0.0551,-0.0453,-1.4098,1.0508,-0.0375
1.848,1.3981,-0.0547,-0.0446,-1.4235,1.0658,-0.0372
1.869,1.4067,-0.0543,-0.0436,-1.4358,1.0830,-0.0361
1.890,1.4154,-0.0539,-0.0430,-1.4455,1.0830,-0.0361
1.911,1.4241,-0.0534,-0.0425,-1.4539,1.0984,-0.0354
1.932,1.4327,-0.0530,-0.0418,-1.4637,1.1138,-0.0346
1.953,1.4501,-0.0519,-0.0411,-1.4734,1.1138,-0.0346
1.974,1.4588,-0.0513,-0.0405,-1.4833,1.1307,-0.0336
1.995,1.4675,-0.0507,-0.0397,-1.4931,1.1462,-0.0326
2.016,1.4763,-0.0501,-0.0389,-1.5030,1.1462,-0.0326
2.037,1.4850,-0.0495,-0.0382,-1.5114,1.1617,-0.0316
2.058,1.4937,-0.0488,-0.0368,-1.5262,1.1617,-0.0316
2.079,1.5111,-0.0475,-0.0359,-1.5360,1.1794,-0.0301
