t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
0.002,-3.2798,16.9744,-0.1104,-0.3352,0.1596,-0.1881
0.004,-3.2798,16.9744,-0.1104,-0.3352,0.1596,-0.1881
0.005,-3.2798,16.9744,-0.1104,-0.3352,0.1596,-0.1881
0.008,-3.2798,16.9744,-0.1104,-0.3352,0.1596,-0.1881
0.011,-3.2798,16.9744,-0.1104,-0.3352,0.1596,-0.1881
0.012,-3.2798,16.9744,-0.1106,-0.3366,0.1596,-0.1881
0.014,-3.2798,16.9744,-0.1106,-0.3366,0.1596,-0.1881
0.017,-3.2798,16.9744,-0.1106,-0.3366,0.1596,-0.1881
0.020,-3.2798,16.9744,-0.1106,-0.3366,0.1596,-0.1881
0.022,-3.2800,16.9747,-0.1106,-0.3366,0.1596,-0.1881
0.022,-3.2800,16.9747,-0.1084,-0.3343,0.1596,-0.1881
0.023,-3.2800,16.9747,-0.1084,-0.3343,0.1596,-0.1881
0.024,-3.2800,16.9747,-0.1084,-0.3343,0.1600,-0.1862
0.026,-3.2800,16.9747,-0.1084,-0.3343,0.1600,-0.1862
0.029,-3.2800,16.9747,-0.1084,-0.3343,0.1600,-0.1862
0.030,-3.2800,16.9747,-0.1086,-0.3354,0.1600,-0.1862
0.032,-3.2800,16.9747,-0.1086,-0.3354,0.1600,-0.1862
0.035,-3.2800,16.9747,-0.1086,-0.3354,0.1600,-0.1862
0.038,-3.2800,16.9747,-0.1086,-0.3354,0.1600,-0.1862
0.039,-3.2804,16.9754,-0.1086,-0.3354,0.1600,-0.1862
0.041,-3.2804,16.9754,-0.1086,-0.3354,0.1600,-0.1862
0.042,-3.2804,16.9754,-0.1088,-0.3370,0.1600,-0.1862
0.044,-3.2804,16.9754,-0.1088,-0.3370,0.1600,-0.1862
0.047,-3.2804,16.9754,-0.1088,-0.3370,0.1600,-0.1862
0.050,-3.2804,16.9754,-0.1088,-0.3370,0.1600,-0.1862
0.051,-3.2804,16.9754,-0.1089,-0.3383,0.1600,-0.1862
0.053,-3.2804,16.9754,-0.1089,-0.3383,0.1600,-0.1862
0.056,-3.2804,16.9754,-0.1089,-0.3383,0.1600,-0.1862
0.057,-3.2809,16.9761,-0.1089,-0.3383,0.1600,-0.1862
0.058,-3.2809,16.9761,-0.1089,-0.3383,0.1641,-0.1867
0.059,-3.2809,16.9761,-0.1089,-0.3383,0.1641,-0.1867
0.060,-3.2809,16.9761,-0.1091,-0.3395,0.1641,-0.1867
0.062,-3.2809,16.9761,-0.1091,-0.3395,0.1641,-0.1867
0.065,-3.2809,16.9761,-0.1091,-0.3395,0.1641,-0.1867
0.068,-3.2809,16.9761,-0.1091,-0.3395,0.1641,-0.1867
