t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
0.000,0.3088,-0.0019,0.0755,0.1867,-0.3233,-0.0001,0.1275,0.2270
0.022,0.3089,-0.0019,0.0755,0.1867,-0.3235,0.0000,0.1288,0.2296
0.046,0.3100,-0.0018,0.0755,0.1867,-0.3241,0.0001,0.1302,0.2322
0.066,0.3108,-0.0017,0.0755,0.1867,-0.3248,0.0011,0.1302,0.2322
0.088,0.3119,-0.0015,0.0755,0.1867,-0.3259,0.0011,0.1316,0.2349
0.110,0.3132,-0.0013,0.0755,0.1867,-0.3273,0.0010,0.1329,0.2375
0.130,0.3147,-0.0011,0.0755,0.1867,-0.3290,0.0009,0.1329,0.2375
0.152,0.3188,-0.0007,0.0715,0.1856,-0.3333,0.0014,0.1343,0.2401
0.174,0.3212,-0.0005,0.0715,0.1856,-0.3361,0.0013,0.1048,0.2036
0.194,0.3240,-0.0003,0.0715,0.1856,-0.3393,0.0012,0.1048,0.2036
0.216,0.3270,-0.0001,0.0715,0.1856,-0.3429,0.0011,0.1056,0.2056
0.238,0.3302,0.0000,0.0715,0.1856,-0.3468,0.0010,0.1066,0.2077
0.260,0.3376,0.0004,0.0715,0.1856,-0.3518,0.0011,0.1066,0.2077
0.282,0.3417,0.0006,0.0715,0.1856,-0.3591,0.0009,0.1075,0.2098
0.304,0.3461,0.0008,0.0715,0.1856,-0.3645,0.0007,0.1084,0.2118
0.326,0.3508,0.0010,0.0715,0.1856,-0.3702,0.0005,0.1084,0.2118
0.348,0.3557,0.0012,0.0966,0.1438,-0.3765,0.0011,0.1094,0.2139
0.370,0.3664,0.0017,0.0966,0.1438,-0.3830,0.0009,0.1103,0.2160
0.392,0.3721,0.0019,0.0966,0.1438,-0.3935,0.0005,0.1103,0.2160
0.412,0.3781,0.0022,0.0966,0.1438,-0.4009,0.0002,0.1112,0.2180
0.434,0.3844,0.0024,0.0966,0.1438,-0.4087,-0.0002,0.1112,0.2180
0.456,0.3909,0.0027,0.0966,0.1438,-0.4154,-0.0010,0.1122,0.2201
0.476,0.4048,0.0033,0.0966,0.1438,-0.4239,-0.0015,0.1131,0.2222
0.498,0.4122,0.0037,0.0966,0.1438,-0.4327,-0.0019,0.1131,0.2222
0.520,0.4198,0.0040,0.0966,0.1438,-0.4419,-0.0024,0.1140,0.2242
0.542,0.4275,0.0044,0.0966,0.1438,-0.4548,-0.0022,0.1149,0.2263
0.564,0.4355,0.0048,0.2362,-0.0235,-0.4646,-0.0027,0.1149,0.2263
0.586,0.4518,0.0056,0.2362,-0.0235,-0.4745,-0.0033,0.2610,0.0246
0.608,0.4600,0.0060,0.2362,-0.0235,-0.4846,-0.0039,0.2639,0.0237
0.630,0.4683,0.0064,0.2362,-0.0235,-0.4947,-0.0045,0.2639,0.0237
0.652,0.4767,0.0069,0.2362,-0.0235,-0.5052,-0.0083,0.2670,0.0228
0.674,0.4936,0.0079,0.2362,-0.0235,-0.5154,-0.0090,0.2700,0.0219
0.694,0.5022,0.0084,0.2362,-0.0235,-0.5257,-0.0096,0.2700,0.0219
0.716,0.5108,0.0089,0.2362,-0.0235,-0.5361,-0.0103,0.2730,0.0211
0.738,0.5194,0.0095,0.2362,-0.0235,-0.5465,-0.0111,0.2760,0.0201
0.758,0.5270,0.0099,0.3054,-0.0411,-0.5501,-0.0202,0.2760,0.0201
0.780,0.5443,0.0111,0.3054,-0.0411,-0.5603,-0.0211,0.2791,0.0192
0.802,0.5530,0.0117,0.3054,-0.0411,-0.5758,-0.0226,0.2791,0.0192
0.824,0.5616,0.0124,0.3054,-0.0411,-0.5861,-0.0236,0.2820,0.0184
0.846,0.5702,0.0131,0.3054,-0.0411,-0.5944,-0.0246,0.2851,0.0175
0.868,0.5789,0.0138,0.3054,-0.0411,-0.6047,-0.0257,0.2851,0.0175
0.890,0.5963,0.0153,0.3054,-0.0411,-0.6150,-0.0269,0.2882,0.0166
0.912,0.6050,0.0161,0.3054,-0.0411,-0.6305,-0.0286,0.2911,0.0157
0.934,0.6137,0.0170,0.3054,-0.0411,-0.6410,-0.0299,0.2911,0.0157
0.956,0.6224,0.0178,0.2876,-0.0494,-0.6493,-0.0287,0.2942,0.0148
0.976,0.6311,0.0187,0.2876,-0.0494,-0.6596,-0.0299,0.3126,0.0038
0.998,0.6485,0.0205,0.2876,-0.0494,-0.6700,-0.0312,0.3126,0.0038
1.020,0.6572,0.0215,0.2876,-0.0494,-0.6803,-0.0325,0.3157,0.0028
1.040,0.6659,0.0224,0.2876,-0.0494,-0.6907,-0.0338,0.3190,0.0017
1.062,0.6746,0.0234,0.2876,-0.0494,-0.7038,-0.0332,0.3190,0.0017
1.084,0.6833,0.0244,0.2876,-0.0494,-0.7141,-0.0345,0.3223,0.0006
1.106,0.7007,0.0264,0.2876,-0.0494,-0.7244,-0.0358,0.3254,-0.0003
1.128,0.7094,0.0275,0.2876,-0.0494,-0.7347,-0.0372,0.3254,-0.0003
1.150,0.7181,0.0285,0.2730,-0.0622,-0.7430,-0.0364,0.3287,-0.0014
1.172,0.7269,0.0296,0.2730,-0.0622,-0.7584,-0.0385,0.3320,-0.0025
1.194,0.7445,0.0319,0.2730,-0.0622,-0.7687,-0.0399,0.3320,-0.0025
1.216,0.7533,0.0331,0.2730,-0.0622,-0.7790,-0.0413,0.3352,-0.0034
1.238,0.7620,0.0343,0.2730,-0.0622,-0.7893,-0.0427,0.3385,-0.0045
1.258,0.7708,0.0355,0.2730,-0.0622,-0.7976,-0.0436,0.3385,-0.0045
1.280,0.7796,0.0367,0.2730,-0.0622,-0.8079,-0.0451,0.3418,-0.0056
1.302,0.7973,0.0392,0.2730,-0.0622,-0.8232,-0.0473,0.3449,-0.0066
1.324,0.8071,0.0406,0.2730,-0.0622,-0.8335,-0.0489,0.3449,-0.0066
1.346,0.8159,0.0419,0.2701,-0.0678,-0.8437,-0.0504,0.3482,-0.0076
1.368,0.8248,0.0432,0.2701,-0.0678,-0.8510,-0.0505,0.3482,-0.0076
1.390,0.8336,0.0445,0.2701,-0.0678,-0.8612,-0.0520,0.3024,-0.0159
1.412,0.8514,0.0472,0.2701,-0.0678,-0.8714,-0.0535,0.3049,-0.0170
1.434,0.8603,0.0486,0.2701,-0.0678,-0.8867,-0.0559,0.3049,-0.0170
1.456,0.8692,0.0500,0.2701,-0.0678,-0.8963,-0.0580,0.3075,-0.0182
1.476,0.8781,0.0513,0.2701,-0.0678,-0.9065,-0.0596,0.3100,-0.0193
1.498,0.8870,0.0527,0.2701,-0.0678,-0.9167,-0.0612,0.3100,-0.0193
1.520,0.9048,0.0556,0.2701,-0.0678,-0.9269,-0.0629,0.3125,-0.0204
1.540,0.9137,0.0570,0.2701,-0.0678,-0.9371,-0.0645,0.3151,-0.0216
1.562,0.9226,0.0585,0.2700,-0.0842,-0.9518,-0.0696,0.3151,-0.0216
1.584,0.9315,0.0600,0.2700,-0.0842,-0.9620,-0.0713,0.3177,-0.0227
1.606,0.9405,0.0615,0.2700,-0.0842,-0.9722,-0.0731,0.3201,-0.0238
1.628,0.9583,0.0645,0.2700,-0.0842,-0.9825,-0.0749,0.3201,-0.0238
1.650,0.9672,0.0661,0.2700,-0.0842,-0.9916,-0.0765,0.3227,-0.0250
1.672,0.9761,0.0676,0.2700,-0.0842,-1.0068,-0.0792,0.3253,-0.0262
1.694,0.9850,0.0692,0.2700,-0.0842,-1.0170,-0.0811,0.3253,-0.0262
1.716,0.9939,0.0708,0.2700,-0.0842,-1.0271,-0.0830,0.3277,-0.0272
1.738,1.0117,0.0740,0.2700,-0.0842,-1.0373,-0.0848,0.3303,-0.0284
1.758,1.0206,0.0756,0.2588,-0.1053,-1.0463,-0.0871,0.3303,-0.0284
1.780,1.0295,0.0772,0.2588,-0.1053,-1.0564,-0.0890,0.3003,-0.0524
1.802,1.0384,0.0787,0.2588,-0.1053,-1.0715,-0.0918,0.3023,-0.0539
1.822,1.0473,0.0803,0.2588,-0.1053,-1.0816,-0.0936,0.3023,-0.0539
1.844,1.0650,0.0835,0.2588,-0.1053,-1.0912,-0.0946,0.3044,-0.0553
1.866,1.0739,0.0851,0.2588,-0.1053,-1.1013,-0.0964,0.3044,-0.0553
1.888,1.0827,0.0867,0.2588,-0.1053,-1.1113,-0.0983,0.3065,-0.0568
1.910,1.0916,0.0883,0.2588,-0.1053,-1.1213,-0.1002,0.3085,-0.0583
1.932,1.1004,0.0899,0.2588,-0.1053,-1.1362,-0.1030,0.3085,-0.0583
1.954,1.1180,0.0932,0.2927,-0.1134,-1.1465,-0.1050,0.3106,-0.0598
1.976,1.1268,0.0949,0.2927,-0.1134,-1.1565,-0.1069,0.3127,-0.0612
1.998,1.1356,0.0966,0.2927,-0.1134,-1.1665,-0.1088,0.3127,-0.0612
2.020,1.1444,0.0983,0.2927,-0.1134,-1.1764,-0.1108,0.3147,-0.0627
2.040,1.1532,0.1000,0.2927,-0.1134,-1.1863,-0.1128,0.3168,-0.0642
2.062,1.1706,0.1035,0.2927,-0.1134,-1.2002,-0.1160,0.3168,-0.0642
2.084,1.1793,0.1053,0.2927,-0.1134,-1.2099,-0.1181,0.3189,-0.0657
2.104,1.1880,0.1072,0.2927,-0.1134,-1.2197,-0.1202,0.3209,-0.0671
2.126,1.1966,0.1090,0.2927,-0.1134,-1.2294,-0.1223,0.3209,-0.0671
2.148,1.2052,0.1109,0.3210,-0.1301,-1.2371,-0.1243,0.3230,-0.0686
2.170,1.2224,0.1147,0.3210,-0.1301,-1.2467,-0.1264,0.3626,-0.0650
2.192,1.2310,0.1167,0.3210,-0.1301,-1.2611,-0.1297,0.3626,-0.0650
2.214,1.2396,0.1186,0.3210,-0.1301,-1.2706,-0.1320,0.3652,-0.0663
2.236,1.2481,0.1206,0.3210,-0.1301,-1.2801,-0.1342,0.3678,-0.0678
2.258,1.2652,0.1246,0.3210,-0.1301,-1.2887,-0.1358,0.3678,-0.0678
2.280,1.2737,0.1267,0.3210,-0.1301,-1.2982,-0.1380,0.3705,-0.0692
2.302,1.2822,0.1287,0.3210,-0.1301,-1.3123,-0.1415,0.3730,-0.0705
2.322,1.2907,0.1308,0.3210,-0.1301,-1.3217,-0.1438,0.3730,-0.0705
2.344,1.2992,0.1329,0.3210,-0.1301,-1.3300,-0.1456,0.3757,-0.0719
2.366,1.3162,0.1371,0.3407,-0.1598,-1.3393,-0.1480,0.3757,-0.0719
2.386,1.3247,0.1393,0.3407,-0.1598,-1.3486,-0.1503,0.3783,-0.0734
2.408,1.3332,0.1414,0.3407,-0.1598,-1.3579,-0.1527,0.3808,-0.0747
2.430,1.3417,0.1436,0.3407,-0.1598,-1.3672,-0.1551,0.3808,-0.0747
2.452,1.3502,0.1458,0.3407,-0.1598,-1.3830,-0.1598,0.3835,-0.0761
2.474,1.3672,0.1503,0.3407,-0.1598,-1.3923,-0.1623,0.3861,-0.0776
2.496,1.3757,0.1525,0.3407,-0.1598,-1.4017,-0.1648,0.3861,-0.0776
2.518,1.3841,0.1548,0.3407,-0.1598,-1.4110,-0.1673,0.3887,-0.0789
