t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
0.000,0.3122,-0.0012,0.0820,0.0971,-0.2869,0.0031,0.0797,0.1095
0.022,0.3122,-0.0012,0.0820,0.0971,-0.2885,0.0030,0.0806,0.1108
0.044,0.3122,-0.0011,0.0725,0.0633,-0.2899,0.0034,0.0806,0.1108
0.066,0.3127,-0.0011,0.0725,0.0633,-0.2916,0.0033,0.0816,0.1122
0.088,0.3142,-0.0009,0.0725,0.0633,-0.2934,0.0032,0.0824,0.1134
0.110,0.3153,-0.0007,0.0725,0.0633,-0.2953,0.0030,0.0824,0.1134
0.132,0.3165,-0.0005,0.0725,0.0633,-0.2960,0.0028,0.0833,0.1148
0.154,0.3195,-0.0001,0.0725,0.0633,-0.2982,0.0025,0.0843,0.1161
0.176,0.3215,0.0002,0.0725,0.0633,-0.3006,0.0021,0.0843,0.1161
0.198,0.3234,0.0005,0.0725,0.0633,-0.3033,0.0018,0.0851,0.1174
0.220,0.3280,0.0010,0.0725,0.0633,-0.3063,0.0014,0.0860,0.1187
0.242,0.3306,0.0013,0.0533,0.0153,-0.3082,0.0007,0.0860,0.1187
0.264,0.3334,0.0016,0.0533,0.0153,-0.3117,0.0002,0.0518,0.0304
0.286,0.3402,0.0022,0.0533,0.0153,-0.3155,-0.0002,0.0522,0.0304
0.306,0.3437,0.0025,0.0533,0.0153,-0.3195,-0.0006,0.0522,0.0304
0.328,0.3475,0.0028,0.0533,0.0153,-0.3239,-0.0010,0.0526,0.0304
0.350,0.3551,0.0034,0.0533,0.0153,-0.3228,0.0011,0.0530,0.0304
0.372,0.3601,0.0038,0.0533,0.0153,-0.3298,0.0006,0.0530,0.0304
0.394,0.3653,0.0042,0.0533,0.0153,-0.3349,0.0002,0.0534,0.0305
0.416,0.3709,0.0046,0.0533,0.0153,-0.3402,-0.0002,0.0538,0.0305
0.438,0.3820,0.0053,0.0533,0.0153,-0.3456,-0.0012,0.0538,0.0305
0.460,0.3862,0.0056,0.0985,0.0074,-0.3515,-0.0017,0.0542,0.0305
0.482,0.3979,0.0064,0.0985,0.0074,-0.3609,-0.0025,0.0545,0.0306
0.504,0.4041,0.0069,0.0985,0.0074,-0.3676,-0.0031,0.0545,0.0306
0.524,0.4113,0.0074,0.0985,0.0074,-0.3745,-0.0038,0.0549,0.0306
0.546,0.4248,0.0084,0.0985,0.0074,-0.3844,-0.0068,0.0549,0.0306
0.568,0.4328,0.0089,0.0985,0.0074,-0.3921,-0.0076,0.0553,0.0306
0.588,0.4410,0.0095,0.0985,0.0074,-0.4000,-0.0084,0.0557,0.0306
0.610,0.4484,0.0101,0.0985,0.0074,-0.4082,-0.0092,0.0557,0.0306
0.632,0.4638,0.0113,0.1465,0.0085,-0.4247,-0.0124,0.0561,0.0307
0.654,0.4717,0.0120,0.1465,0.0085,-0.4335,-0.0134,0.1379,0.0300
0.676,0.4809,0.0127,0.1465,0.0085,-0.4428,-0.0144,0.1379,0.0300
0.698,0.4904,0.0135,0.1465,0.0085,-0.4523,-0.0155,0.1394,0.0300
0.720,0.5102,0.0152,0.1465,0.0085,-0.4622,-0.0166,0.1410,0.0300
0.742,0.5194,0.0160,0.1465,0.0085,-0.4813,-0.0167,0.1410,0.0300
0.764,0.5288,0.0169,0.1465,0.0085,-0.4922,-0.0180,0.1426,0.0300
0.786,0.5493,0.0188,0.1465,0.0085,-0.5032,-0.0193,0.1441,0.0300
0.806,0.5580,0.0196,0.1465,0.0085,-0.5146,-0.0207,0.1441,0.0300
0.828,0.5681,0.0206,0.1465,0.0085,-0.5262,-0.0222,0.1457,0.0301
0.850,0.5876,0.0226,0.1810,-0.0153,-0.5459,-0.0203,0.1473,0.0301
0.870,0.5995,0.0239,0.1810,-0.0153,-0.5649,-0.0225,0.1473,0.0301
0.892,0.6117,0.0251,0.1810,-0.0153,-0.5780,-0.0239,0.1488,0.0301
0.914,0.6354,0.0277,0.1810,-0.0153,-0.5913,-0.0255,0.1503,0.0301
0.936,0.6498,0.0293,0.1810,-0.0153,-0.6052,-0.0278,0.1503,0.0301
0.958,0.6615,0.0306,0.1810,-0.0153,-0.6191,-0.0295,0.1519,0.0301
0.980,0.6765,0.0323,0.1810,-0.0153,-0.6334,-0.0313,0.1534,0.0301
1.002,0.6995,0.0349,0.1810,-0.0153,-0.6554,-0.0340,0.1534,0.0301
1.024,0.7136,0.0366,0.1810,-0.0153,-0.6705,-0.0359,0.1550,0.0302
1.046,0.7263,0.0381,0.1810,-0.0153,-0.6885,-0.0395,0.1550,0.0302
1.068,0.7556,0.0416,0.1605,-0.0291,-0.7042,-0.0416,0.1566,0.0302
1.088,0.7705,0.0435,0.1605,-0.0291,-0.7202,-0.0437,0.1550,0.0001
1.110,0.7839,0.0452,0.1605,-0.0291,-0.7364,-0.0459,0.1550,0.0001
1.132,0.7992,0.0471,0.1605,-0.0291,-0.7612,-0.0482,0.1566,-0.0003
1.152,0.8250,0.0504,0.1605,-0.0291,-0.7779,-0.0505,0.1581,-0.0008
1.174,0.8407,0.0524,0.1605,-0.0291,-0.7949,-0.0528,0.1581,-0.0008
1.194,0.8565,0.0545,0.1605,-0.0291,-0.8120,-0.0552,0.1596,-0.0012
1.216,0.8725,0.0567,0.1605,-0.0291,-0.8293,-0.0577,0.1611,-0.0016
1.238,0.8885,0.0589,0.1605,-0.0291,-0.8496,-0.0600,0.1611,-0.0016
1.258,0.9174,0.0629,0.1375,-0.0625,-0.8673,-0.0626,0.1627,-0.0020
1.280,0.9337,0.0653,0.1375,-0.0625,-0.8851,-0.0652,0.1641,-0.0024
1.302,0.9502,0.0677,0.1375,-0.0625,-0.9121,-0.0694,0.1641,-0.0024
1.322,0.9649,0.0698,0.1375,-0.0625,-0.9303,-0.0722,0.1657,-0.0028
1.344,0.9946,0.0744,0.1375,-0.0625,-0.9486,-0.0758,0.1657,-0.0028
1.366,1.0114,0.0770,0.1375,-0.0625,-0.9671,-0.0788,0.1672,-0.0032
1.386,1.0282,0.0796,0.1375,-0.0625,-0.9855,-0.0818,0.1687,-0.0036
1.408,1.0601,0.0846,0.1375,-0.0625,-1.0040,-0.0849,0.1687,-0.0036
1.430,1.0732,0.0867,0.1375,-0.0625,-1.0226,-0.0880,0.1702,-0.0040
1.452,1.0883,0.0892,0.1400,-0.0655,-1.0501,-0.0927,0.1718,-0.0045
1.472,1.1203,0.0944,0.1400,-0.0655,-1.0687,-0.0960,0.1718,-0.0045
