t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
0.000,0.3128,-0.0254,-0.2327,0.1120,-0.0244,-0.2847,-0.2290,0.1085
0.021,0.3128,-0.0254,-0.2327,0.1120,-0.0245,-0.2829,-0.2290,0.1085
0.042,0.3139,-0.0255,-0.2327,0.1120,-0.0246,-0.2815,-0.2313,0.1096
0.063,0.3147,-0.0257,-0.2362,0.1072,-0.0250,-0.2816,-0.2336,0.1108
0.084,0.3159,-0.0259,-0.2362,0.1072,-0.0252,-0.2810,-0.2336,0.1108
0.105,0.3173,-0.0262,-0.2362,0.1072,-0.0256,-0.2808,-0.2358,0.1119
0.126,0.3189,-0.0265,-0.2362,0.1072,-0.0259,-0.2809,-0.2381,0.1130
0.147,0.3208,-0.0268,-0.2362,0.1072,-0.0263,-0.2817,-0.2381,0.1130
0.168,0.3255,-0.0275,-0.2362,0.1072,-0.0267,-0.2883,-0.2406,0.1143
0.189,0.3283,-0.0278,-0.2362,0.1072,-0.0270,-0.2900,-0.2406,0.1143
0.210,0.3313,-0.0281,-0.2362,0.1072,-0.0274,-0.2923,-0.2429,0.1154
0.231,0.3346,-0.0285,-0.2362,0.1072,-0.0278,-0.2949,-0.2452,0.1166
0.252,0.3382,-0.0288,-0.2357,0.0950,-0.0282,-0.2974,-0.2452,0.1166
0.273,0.3420,-0.0292,-0.2357,0.0950,-0.0291,-0.3074,-0.2242,0.0893
0.294,0.3504,-0.0299,-0.2357,0.0950,-0.0296,-0.3114,-0.2261,0.0900
0.315,0.3550,-0.0303,-0.2357,0.0950,-0.0300,-0.3158,-0.2261,0.0900
0.336,0.3599,-0.0306,-0.2357,0.0950,-0.0304,-0.3198,-0.2281,0.0907
0.357,0.3651,-0.0310,-0.2357,0.0950,-0.0304,-0.3330,-0.2301,0.0915
0.378,0.3705,-0.0314,-0.2357,0.0950,-0.0309,-0.3388,-0.2301,0.0915
0.399,0.3762,-0.0317,-0.2357,0.0950,-0.0313,-0.3442,-0.2320,0.0922
0.420,0.3883,-0.0325,-0.2357,0.0950,-0.0318,-0.3507,-0.2320,0.0922
0.441,0.3947,-0.0329,-0.2357,0.0950,-0.0322,-0.3576,-0.2340,0.0930
0.462,0.4015,-0.0332,-0.2274,0.0995,-0.0336,-0.3693,-0.2361,0.0938
0.483,0.4084,-0.0336,-0.2274,0.0995,-0.0343,-0.3807,-0.2361,0.0938
