t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
0.000,0.2781,0.0088,21.5032,-38.2540,-0.3095,-0.0134,20.9817,-39.8351
0.022,0.2785,0.0088,21.5032,-38.2540,-0.3093,-0.0132,21.1016,-40.0617
0.044,0.2792,0.0087,21.5032,-38.2540,-0.3100,-0.0130,21.1016,-40.0617
0.064,0.2801,0.0085,21.5032,-38.2540,-0.3104,-0.0126,21.2214,-40.2884
0.086,0.2822,0.0082,21.5032,-38.2540,-0.3112,-0.0122,21.3342,-40.5017
0.108,0.2838,0.0079,21.5032,-38.2540,-0.3129,-0.0115,21.3342,-40.5017
0.128,0.2858,0.0077,21.5032,-38.2540,-0.3163,-0.0121,21.4541,-40.7284
0.150,0.2884,0.0074,21.5032,-38.2540,-0.3184,-0.0117,21.4541,-40.7284
0.172,0.2910,0.0073,21.5218,-38.2762,-0.3209,-0.0114,21.5739,-40.9550
0.192,0.2943,0.0071,21.5218,-38.2762,-0.3239,-0.0111,21.6868,-41.1684
0.214,0.2973,0.0069,21.5218,-38.2762,-0.3271,-0.0109,21.6868,-41.1684
0.236,0.3009,0.0068,21.5218,-38.2762,-0.3323,-0.0118,21.8066,-41.3950
0.256,0.3049,0.0067,21.5218,-38.2762,-0.3386,-0.0116,21.9265,-41.6217
0.278,0.3096,0.0067,21.5218,-38.2762,-0.3433,-0.0115,21.9265,-41.6217
0.298,0.3142,0.0066,21.5218,-38.2762,-0.3484,-0.0114,22.0393,-41.8350
0.320,0.3211,0.0066,21.5218,-38.2762,-0.3511,-0.0096,22.1591,-42.0617
0.342,0.3265,0.0066,21.5218,-38.2762,-0.3568,-0.0095,22.1591,-42.0617
0.362,0.3316,0.0067,21.5851,-38.2182,-0.3629,-0.0095,22.2790,-42.2884
0.384,0.3382,0.0067,21.5851,-38.2182,-0.3694,-0.0096,22.2790,-42.2884
0.406,0.3445,0.0068,21.5851,-38.2182,-0.3763,-0.0096,21.1017,-39.8775
0.426,0.3511,0.0069,21.5851,-38.2182,-0.3835,-0.0097,21.2034,-40.0673
0.448,0.3579,0.0070,21.5851,-38.2182,-0.3946,-0.0110,21.2034,-40.0673
0.470,0.3654,0.0041,21.5851,-38.2182,-0.4020,-0.0106,21.3052,-40.2571
0.490,0.3698,0.0012,21.5851,-38.2182,-0.4089,-0.0094,21.4009,-40.4358
0.512,0.3738,-0.0024,21.5851,-38.2182,-0.4154,-0.0075,21.4009,-40.4358
0.532,0.3777,-0.0063,21.5851,-38.2182,-0.4193,-0.0055,21.5027,-40.6256
0.554,0.3818,-0.0104,21.5851,-38.2182,-0.4257,-0.0029,21.6044,-40.8155
0.576,0.3856,-0.0142,20.9160,-38.0698,-0.4322,-0.0002,21.6044,-40.8155
0.596,0.3920,-0.0206,20.9160,-38.0698,-0.4389,0.0026,21.7002,-40.9941
0.618,0.3951,-0.0237,20.9160,-38.0698,-0.4465,0.0078,21.7002,-40.9941
0.640,0.3995,-0.0280,20.9160,-38.0698,-0.4534,0.0106,21.8019,-41.1840
0.660,0.4039,-0.0324,20.9160,-38.0698,-0.4602,0.0135,21.9037,-41.3738
0.682,0.4088,-0.0373,20.9160,-38.0698,-0.4672,0.0164,21.9037,-41.3738
0.704,0.4159,-0.0443,20.9160,-38.0698,-0.4741,0.0193,21.9995,-41.5525
0.724,0.4188,-0.0477,20.9160,-38.0698,-0.4757,0.0314,22.1012,-41.7423
0.746,0.4225,-0.0520,20.9160,-38.0698,-0.4817,0.0343,22.1012,-41.7423
0.768,0.4256,-0.0551,20.3141,-38.1104,-0.4908,0.0378,22.2030,-41.9321
0.788,0.4294,-0.0583,20.3141,-38.1104,-0.4970,0.0394,19.9250,-39.7567
0.810,0.4330,-0.0605,20.3141,-38.1104,-0.5032,0.0404,19.9250,-39.7567
0.830,0.4356,-0.0622,20.3141,-38.1104,-0.5096,0.0440,19.9933,-39.9134
0.852,0.4371,-0.0639,20.3141,-38.1104,-0.5150,0.0448,19.9933,-39.9134
0.874,0.4387,-0.0661,20.3141,-38.1104,-0.5201,0.0455,20.0617,-40.0701
0.894,0.4396,-0.0674,20.3141,-38.1104,-0.5250,0.0460,20.1260,-40.2176
0.916,0.4402,-0.0686,20.3141,-38.1104,-0.5297,0.0463,20.1260,-40.2176
0.938,0.4408,-0.0697,20.3141,-38.1104,-0.5362,0.0474,20.1944,-40.3744
0.958,0.4413,-0.0706,20.3141,-38.1104,-0.5407,0.0475,20.2628,-40.5311
0.980,0.4416,-0.0713,18.8756,-38.8119,-0.5451,0.0475,20.2628,-40.5311
1.002,0.4421,-0.0723,18.8756,-38.8119,-0.5495,0.0475,20.3271,-40.6786
1.022,0.4424,-0.0729,18.8756,-38.8119,-0.5539,0.0474,20.3955,-40.8353
1.044,0.4427,-0.0734,18.8756,-38.8119,-0.5582,0.0472,20.3955,-40.8353
1.064,0.4429,-0.0739,18.8756,-38.8119,-0.5626,0.0470,20.4638,-40.9920
1.086,0.4433,-0.0743,18.8756,-38.8119,-0.5694,0.0466,20.5282,-41.1395
1.108,0.4439,-0.0748,18.8756,-38.8119,-0.5739,0.0463,20.5282,-41.1395
1.128,0.4443,-0.0751,18.8756,-38.8119,-0.5788,0.0474,20.5965,-41.2963
1.150,0.4447,-0.0753,18.8756,-38.8119,-0.5833,0.0471,20.5965,-41.2963
1.172,0.4452,-0.0756,17.8414,-39.0389,-0.5878,0.0468,20.6649,-41.4530
1.192,0.4456,-0.0759,17.8414,-39.0389,-0.5924,0.0465,17.4917,-40.4301
1.214,0.4460,-0.0761,17.8414,-39.0389,-0.5969,0.0462,17.4917,-40.4301
