t_sim,n_shi,n_fast,lap_var,klt_surv,klt_err_px
0.000,0,0,0.0,,
4.652,194,596,5030.4,0.629,0.137
6.652,153,475,4424.8,1.000,0.001
8.654,160,488,4409.1,0.994,0.017
10.654,164,462,4475.3,0.915,0.044
12.654,144,455,4639.4,0.965,0.044
14.654,145,350,2844.1,0.834,0.035
16.654,122,288,1727.9,0.967,0.028
18.654,154,262,958.5,0.818,0.027
20.654,245,190,349.8,0.943,0.029
22.654,322,177,288.2,0.947,0.030
24.654,312,171,290.7,0.949,0.028
26.654,207,175,277.9,0.961,0.031
28.654,283,166,281.3,0.936,0.026
30.654,314,176,288.2,0.952,0.027
32.654,336,187,305.5,0.943,0.026
34.654,127,205,557.2,0.929,0.028
36.654,118,338,3127.0,0.949,0.030
38.654,117,431,4683.6,0.974,0.029
40.654,111,415,4294.6,0.973,0.026
42.654,130,448,5361.2,0.985,0.031
44.654,119,517,6134.6,0.966,0.039
46.654,152,543,7313.3,0.974,0.045
48.654,136,500,6889.1,0.971,0.039
50.654,95,365,5009.9,0.979,0.036
52.654,111,280,3122.5,0.973,0.034
54.654,90,166,1018.4,0.900,0.017
