t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
0.000,0.3481,0.0074,0.0751,-0.0100,-0.3373,-0.0089,0.0817,-0.0072
0.020,0.3481,0.0074,0.0608,-0.0115,-0.3353,-0.0094,0.0825,-0.0073
0.040,0.3486,0.0074,0.0608,-0.0115,-0.3343,-0.0097,0.0833,-0.0074
0.062,0.3492,0.0075,0.0608,-0.0115,-0.3344,-0.0099,0.0833,-0.0074
0.084,0.3499,0.0076,0.0608,-0.0115,-0.3346,-0.0102,0.0842,-0.0075
0.104,0.3509,0.0078,0.0608,-0.0115,-0.3360,-0.0104,0.0850,-0.0077
0.126,0.3537,0.0082,0.0608,-0.0115,-0.3380,-0.0110,0.0850,-0.0077
0.148,0.3553,0.0084,0.0608,-0.0115,-0.3399,-0.0115,0.0858,-0.0078
0.168,0.3575,0.0087,0.0608,-0.0115,-0.3422,-0.0120,0.0858,-0.0078
0.190,0.3618,0.0091,0.0608,-0.0115,-0.3448,-0.0125,0.0866,-0.0079
0.212,0.3644,0.0094,0.0608,-0.0115,-0.3507,-0.0146,0.0875,-0.0080
0.232,0.3669,0.0096,0.0907,-0.0156,-0.3544,-0.0152,0.0875,-0.0080
0.254,0.3732,0.0101,0.0907,-0.0156,-0.3584,-0.0159,0.0939,-0.0117
0.276,0.3767,0.0103,0.0907,-0.0156,-0.3628,-0.0165,0.0948,-0.0119
0.296,0.3824,0.0107,0.0907,-0.0156,-0.3678,-0.0165,0.0948,-0.0119
0.318,0.3871,0.0111,0.0907,-0.0156,-0.3755,-0.0175,0.0957,-0.0121
0.340,0.3919,0.0114,0.0907,-0.0156,-0.3811,-0.0182,0.0966,-0.0122
0.360,0.4014,0.0120,0.0907,-0.0156,-0.3870,-0.0190,0.0966,-0.0122
0.382,0.4071,0.0124,0.0907,-0.0156,-0.3932,-0.0198,0.0975,-0.0124
0.404,0.4110,0.0126,0.0907,-0.0156,-0.4076,-0.0210,0.0984,-0.0126
0.426,0.4222,0.0134,0.0907,-0.0156,-0.4149,-0.0219,0.0984,-0.0126
0.446,0.4282,0.0138,0.0907,-0.0156,-0.4225,-0.0229,0.0993,-0.0127
0.468,0.4351,0.0142,0.0907,-0.0156,-0.4346,-0.0245,0.0993,-0.0127
0.490,0.4481,0.0151,0.0907,-0.0156,-0.4508,-0.0171,0.1002,-0.0129
0.510,0.4567,0.0157,0.1407,-0.0454,-0.4598,-0.0181,0.1653,-0.0513
0.532,0.4637,0.0162,0.1407,-0.0454,-0.4691,-0.0190,0.1653,-0.0513
0.554,0.4782,0.0172,0.1407,-0.0454,-0.4785,-0.0200,0.1671,-0.0520
0.574,0.4857,0.0177,0.1407,-0.0454,-0.4881,-0.0210,0.1689,-0.0527
0.596,0.4971,0.0185,0.1407,-0.0454,-0.4952,-0.0215,0.1689,-0.0527
0.618,0.5049,0.0191,0.1407,-0.0454,-0.5097,-0.0231,0.1707,-0.0534
0.638,0.5137,0.0197,0.1407,-0.0454,-0.5195,-0.0242,0.1725,-0.0541
0.660,0.5215,0.0203,0.1407,-0.0454,-0.5294,-0.0254,0.1725,-0.0541
0.682,0.5365,0.0215,0.1407,-0.0454,-0.5393,-0.0266,0.1743,-0.0548
0.702,0.5435,0.0220,0.1861,-0.0901,-0.5489,-0.0250,0.1743,-0.0548
0.724,0.5588,0.0231,0.1861,-0.0901,-0.5588,-0.0260,0.1762,-0.0556
0.746,0.5731,0.0242,0.1861,-0.0901,-0.5687,-0.0271,0.1779,-0.0562
0.766,0.5803,0.0247,0.1861,-0.0901,-0.5785,-0.0283,0.1779,-0.0562
0.788,0.5886,0.0252,0.1861,-0.0901,-0.5952,-0.0279,0.1797,-0.0569
0.810,0.6051,0.0263,0.1861,-0.0901,-0.6051,-0.0289,0.1816,-0.0577
0.830,0.6134,0.0268,0.1861,-0.0901,-0.6150,-0.0298,0.1816,-0.0577
0.852,0.6206,0.0273,0.1861,-0.0901,-0.6249,-0.0307,0.1833,-0.0583
0.874,0.6372,0.0283,0.1861,-0.0901,-0.6347,-0.0316,0.1852,-0.0590
0.894,0.6476,0.0290,0.1861,-0.0901,-0.6462,-0.0289,0.1852,-0.0590
0.916,0.6559,0.0295,0.2939,-0.1636,-0.6561,-0.0298,0.3133,-0.1493
0.938,0.6653,0.0301,0.2939,-0.1636,-0.6708,-0.0310,0.3167,-0.1512
0.958,0.6830,0.0312,0.2939,-0.1636,-0.6806,-0.0318,0.3167,-0.1512
0.980,0.6913,0.0318,0.2939,-0.1636,-0.6903,-0.0327,0.3204,-0.1532
1.002,0.7049,0.0327,0.2939,-0.1636,-0.7010,-0.0345,0.3204,-0.1532
1.022,0.7133,0.0333,0.2939,-0.1636,-0.7107,-0.0354,0.3241,-0.1552
1.044,0.7227,0.0339,0.2939,-0.1636,-0.7204,-0.0363,0.3275,-0.1571
1.066,0.7321,0.0346,0.2939,-0.1636,-0.7300,-0.0372,0.3275,-0.1571
1.086,0.7488,0.0358,0.2939,-0.1636,-0.7444,-0.0386,0.3312,-0.1591
1.108,0.7583,0.0365,0.3806,-0.2007,-0.7563,-0.0393,0.3349,-0.1612
1.130,0.7666,0.0371,0.3806,-0.2007,-0.7658,-0.0402,0.3349,-0.1612
1.150,0.7834,0.0384,0.3806,-0.2007,-0.7754,-0.0412,0.3384,-0.1630
